"complex_name","venue_count"
"Rice Stadium (Brian Patterson Sports Performance Center)","7"
"Circolo Tennis Villa Carpena","7"
"TC GM Sports Anif","7"
"Mhalunge Balewadi Tennis Complex","7"
"Liuzhou Tennis Center","7"
"TK Sparta Praha","7"
"Iate Club de Brasilia","7"
"Au Tennis Club De Tunis","7"
"LTV 1899","7"
"TK Slovan Bratislava","7"
"Cary Tennis Park","7"
"Tennis Club Saint Tropez","7"
"The Lawn Tennis Association of Thailand","7"
"Arena Loire Trelaze","7"
"Green Tennis Plaza","7"
"Club Rancho San Francisco","7"
"Tennisclub Heilbronn am Trappensee","7"
"Amersfoort Lawn Tennis Club","7"
"Delray Beach Tennis Center","7"
"Tali Tennis Center","7"
"Barnes Tennis Center","7"
"Palais des sports de Gerland","7"
"Palais Des Sport","7"
"Abama Tennis Academy","7"
"Almaty Tennis Center","7"
"Zayed Sports City International Tennis Centre","7"
"Tennis Club 1.FCN","7"
"Club de Campo Villa de Madrid","7"
"Autotron Rosmalen","7"
"Halton-Wagner Tennis Complex","6"
"Bendigo Tennis Centre","6"
"Queens Park","6"
"Autoclub Antofagasta","6"
"Tampereen Tenniskeskus Oy","6"
"Dubai Duty Free Tennis Stadium","6"
"Porsche Arena","6"
"Burrows-Burleson Tennis Center","6"
"Utilita Arena Birmingham","6"
"Salle Steredenn","6"
"Tennis Sanremo","6"
"Goodfriend Tennis Center","6"
"Rama Gardens Hotel","6"
"Stanford Taube Tennis Center","6"
"Family Circle Tennis Center","6"
"Royal Tennis Club de Marrakech","6"
"San José State University Tennis Center","6"
"Penina Hotel & Golf Resort","6"
"Anexo Guayaquil Tenis Club","6"
"Complexo Tenis Monte Aventino","6"
"Dan Magill Tennis Complex","6"
"Goodfriend Indoor Tennis Center","6"
"Wake Forest University Tennis Complex","6"
"Sport Center Visnjik (Clay)","6"
"Palalido Allianz Cloud","6"
"Parc des Expositions Quimper Cornouaille","6"
"Launceston Regional Tennis Centre","6"
"Eemslag Tennis and Padel Bunschoten","6"
"True Arena Hua Hin","6"
"Club Deportivo Universidad Catolica","6"
"TK As Timok","6"
"TC Weissenhof, Stuttgart","6"
"Nudgee Grammar","6"
"Estadio Mario Alberto Kempes","6"
"Braunschweiger Tennis und Hockeyclub","6"
"ŠRC MARINA PORTOROŽ","6"
"Complexe Tennistique Marie-Louise Lhuillier","6"
"Rick Macci Tennis Center","6"
"Salle Collete-Benson","6"
"David X Marks Tennis Stadium","6"
"Guayaquil Tennis Club","6"
"Olympic Tennis School","6"
"National Bank Tennis Hub @ West St Paul","6"
"George P Mitchell 40 Tennis Center","6"
"Associazione Tennis Verona","6"
"Rebsamen Tennis Center","6"
"Teniski Klub Split","6"
"Circolo Tennis Bari","6"
"Palmira Tennis Club","6"
"Churchie Grammar","6"
"Royal SC Tennis","6"
"Bastad Tennis Stadium","6"
"OMEGA Sports and Health Centre","6"
"Newport Beach Tennis Club","6"
"Omega Sport Center","6"
"Tennis Club Saint-Brieuc","6"
"Ostravar Arena","6"
"Shenzhen Luohu Tennis Centre","6"
"Jan Group Arena","6"
"KPI Park","6"
"Tennisclub Zug","6"
"Palais des Sports Orleans","6"
"Tennis Club Todi 1971","5"
"Parque Distrital de Raquetas","5"
"Tenis Centar Maksimir","5"
"Circolo Tennis Francavilla al Mare Sporting Club","5"
"Tennis Club Lillois Lille Metropole","5"
"Baza Sportiva Olimpia","5"
"Club Nautico Hacoaj","5"
"Complexo de Tenis do Jamor","5"
"TC Empire Trnava","5"
"Hacienda Chicureo","5"
"Tenis Centar Firule","5"
"Tennis Club Dinamo","5"
"The Tennis Club at Newport Beach","5"
"SDAT Tennis Stadium","5"
"Complexe Sportif Chantereyne","5"
"Les Arenes de Metz","5"
"Kungliga Tennishallen","5"
"Roy Emerson Arena","5"
"Tennis club ""Favourite""","5"
"Club de Golf Tres Marias","5"
"Singapore Indoor Stadium","5"
"LTP Tennis Mount Pleasant","5"
"CK Sportcenter Kockelscheuer","5"
"JC Ferrero Equelite Sport Academy","5"
"T Bar M Racquet Club","5"
"Delmar International School","5"
"TC Blau-Gelb Bonn-Beuel","5"
"Arena Armeets Sofia","5"
"Tenisovy Klub Prostejov","5"
"Club Tungurahua","5"
"Centro Tennis Cassa di Risparmio","5"
"Yucatan Country Club","5"
"Nacionalni Trening Centar Teniskog","5"
"Tivoli Tennis Center","5"
"Arena GNP Seguros","5"
"TENNISGESELLSCHAFT ROT-WEISS Monchengladbach","5"
"Tennis Club de Contrexeville","5"
"Tennis Club Pamira","5"
"Farum Arena","5"
"National Tennis Centre","5"
"TG Nord Dusseldorf e.V.","5"
"Jacobs Pavilion at Nautica","5"
"Olme Sport","5"
"LSU","5"
"The Phoenix Country Club","5"
"Tenis Club Argentino","5"
"Tennis Club Gaiba - Gaibledon","5"
"University of Alabama Tennis Stadium","5"
"The Drive","5"
"Georgia Gwinnett","5"
"Club Sonoma, Estadio Gnp Seguros","5"
"Alex Metreveli Tennis Club","5"
"National Tennis Center (Beeline Arena)","5"
"Sportpark Ismaning","5"
"Tennis Club Tulln","5"
"Estadio Espanol Chiguayante","5"
"Pearson Automotive Tennis Club","5"
"Cranbrook Kingswood Tennis Complex","5"
"Tucumán Lawn Tennis Club","5"
"Cantegril Country Club","5"
"New Country Tennis Academy","5"
"Arena Montpellier","5"
"Palais des Sports de Pau","5"
"Rome Tennis Center","5"
"Tennis Club de Geneve","5"
"Danubis Tenniscenter Mauthausen","5"
"Ohio State University","5"
"Tennis Club Ortisei","5"
"Hollyburn Country Club","4"
"TK Spoje Praha","4"
"Tennis Club Ruppurr 1929 e. V.","4"
"Francesco Guzzini Recanati Tennis Club","4"
"Rome Tennis Center at Berry College","4"
"Estadio German Becker","4"
"Tennis Club Perugia","4"
"Manzanillo","4"
"Lotto Arena","4"
"Country Club de Bogota","4"
"Tenis Club Parma","4"
"Atlantic Station","4"
"Lagardere Paris Racing Club","4"
"Ariake Colosseum","4"
"Inacua Malaga","4"
"Atlantis The Palm","4"
"Henan Provincial Sports Centre Stadium","4"
"Guangzhou Development District International Tennis School","4"
"The Queen’s Club","4"
"Dan Maskell Tennis Centre","4"
"Atkins Tennis Center Indoor","4"
"TED Tenis Eskrim Dagcilik Spor Kulubu","4"
"Ty Tucker Tennis Center","4"
"Tennis Club Roseto","4"
"Tokyo Metropolitan Gymnasium","4"
"Salzburg Tennis Club","4"
"Bonn Tennis and Hockey Club","4"
"Tenis Club Crvena Zvezda","4"
"TC Rot Weiss Hagen","4"
"Arena Co'Met","4"
"PalaNorda","4"
"Istanbul Tennis Center","4"
"Bloomington","4"
"Michael and Anne Greenwood Tennis Center","4"
"Union Sportive des Cheminots du Maroc","4"
"International Tennis Center","4"
"Carrasco Lawn Tennis Club","4"
"Tennis Club Izida","4"
"Salle Omnisport de Rades","4"
"Royal Arena","4"
"Club Tennis Vic","4"
"Circolo Tennis Rovereto","4"
"COMUNIDAD VALENCIANA","4"
"Carvoeiro Clube de Tenis","4"
"Sportaktivpark Bad Waltersdorf","4"
"Palasport","4"
"Sporting Poseidon","4"
"Arena Sofia","4"
"Cabo Sports Complex","4"
"Korty Mosrir","4"
"Kachreti Golf Resort","4"
"Jim and Nell Hawkins Indoor Tennis Center","4"
"Club Campestre Sede Llanogrande","4"
"Kindarena","4"
"Complejo Deportivo San Carlos De Apoquindo","4"
"Bezirksstützpunkt Biberach","4"
"Sibur Arena","4"
"Cleveland Racquet Club","4"
"Greater Midland Tennis Center","4"
"Olympic Tennis Courts","4"
"I. Czech Lawn Tennis Club Praha","4"
"Las Hadas Golf & Country Club","4"
"Mouratoglou Tennis Academy","4"
"Parc De La TeTe D'or","4"
"Club Naval de Campo las Salinas","4"
"Murcia Tennis Club 1919","4"
"Sheraton Buganvilias Resort and Convention Center","4"
"Romai Tennis Academy","4"
"Park Mladen Stojanovic","4"
"Good To Great Tennis Academy","4"
"Club Campestre Farallones","3"
"Palais des Sports de Marseille","3"
"All In Country Club Decines","3"
"Wimbledon Tennis and Pickleball Club","3"
"Lyttos Sportscenter","3"
"Delhi Lawn Tennis Association","3"
"Jockey Club de Rosario","3"
"Ciudad Deportiva de Tampico","3"
"Victoria Park Tennis Stadium","3"
"Palais des sports de Beaublanc","3"
"Domain Tennis Centre","3"
"Tennis Club Rot Weiss Troisdorf E. V.","3"
"House of Sports","3"
"Laurel Oak Country Club","3"
"Club De Campo Bellavista","3"
"Conde Jackson Tennis Club Maspalomas","3"
"SYMA Sports and Conference Centre","3"
"Porsche-Arena","3"
"Tennis Interieur Rene Verrier","3"
"Tips Arena Linz","3"
"The Thoreau Club","3"
"Nautica Entertainment Complex","3"
"President Tennis Club","3"
"Club Tenis Ciutadella","3"
"North-West University Tennis Complex","3"
"Forte Village Resort","3"
"Tenis Centar Makarska Lukas Sport","3"
"LTTC Rot-Weiss","3"
"TC Bad Homburg","3"
"Club Campestre","3"
"Tennis Club Porto Rose","3"
"Club Internacional de Tenis","3"
"TOP SEED TENNIS CLUB","3"
"Caja Magica","3"
"EPG Arena","3"
"Tcja Saint-Malo","3"
"Club La Meridiana","3"
"Playford City Tennis Centre","3"
"Rotterdam Ahoy","3"
"Villa Reale Tennis Monza","3"
"Hotel Racquet Cuernavaca","3"
"TC Blau-Gelb Bad Rappenau","3"
"Centro Libanes Mexicano de Tampico","3"
"Le Liberte","3"
"Hamburger Tennis Verband e.V","3"
"ATP Stadium Goran Ivanisevic","3"
"Raquet Village","3"
"SC Ostrava","3"
"Club Tennis Lleida","3"
"Sarasota Sports Club","3"
"Tennis Club Cagliari","3"
"Robson Tennis Center","3"
"Palais des Sports","3"
"Complexo Municipal de Tenis da Maia","3"
"Fukui Sports Park","3"
"Tennis Courts of the SW University Neofit Rilski","3"
"Emilio Sanchez Academy","3"
"Arena BRB","3"
"Arka Tennis Club","3"
"Tennis Club du Stade-Lausanne","3"
"Le Central Tennis Club","3"
"Cordoba Lawn Tennis Club","3"
"Acapulco Princess Mundo Imperial","3"
"Circolo Tennis Maggioni","3"
"Playford Tennis Centre","3"
"Design Center Linz","2"
"Wien, Wiener Stadthalle","2"
"Tashkent Tennis Centreake","2"
"Tel Aviv International Convention Center","2"
"TC Ismaning","2"
"Spot - Salle Jean Burger","2"
"Styslinger Altec Tennis Complex","2"
"Circolo Antico Tiro a Volo","2"
"Complexe Sportif du Blocry","2"
"Qi zhong Forest Sports City Arena","2"
"Montreux Tennis Club","2"
"Lanxess Arena","2"
"Sud de France Arena","2"
"Circolo Tennis I Faggi","2"
"Hala Ricany","2"
"Estadio de la Cartuja","2"
"Beograndska Arena","2"
"Costa Verde Tenis Clube","2"
"Kallang Tennis Centre","2"
"Racket Club, Argentina","2"
"Kaya Palazzo Belek","2"
"Nice Lawn Tennis Club","2"
"Accor Arena","2"
"Le Scarabee","2"
"Parque Olimpico do Rio de Janeiro","2"
"Luzhniki Olympic Complex","2"
"BT Arena","2"
"Vendéspace","2"
"Circolo Tennis Barletta","2"
"Glenmore Athletic Park","2"
"Fiera de Levante","2"
"Shenzhen Longgang Sports Center","2"
"Sanchez-Casal Tennis Academy","1"
"Club Los Lagartos","1"
"Estadio Paradisus Cancun Quintana Roo","1"
"Formula Tennisa Lakhta","1"
"Ljubicic Tennis Academy","1"
"Inalpi Arena","1"
"Tiriac Stadium","1"
"Baza Sportiva Ciric","1"
"Ice Palace Krylatskoye","1"
"The O2","1"
"AO Arena","1"
"Stadium Goran Ivanisevic in ITC Stella Maris","1"
"Nacional","1"
"Garanti Koza Arena","1"
"Sparta Prague Tennis Complex","1"
"Vitality Slezsko","1"
"Kooyong Lawn Tennis Club","1"
"OCBC Arena","1"
"Halle Tony Garnier","1"
"King Saud University","1"
"Swiss Tennis Arena","1"
"China National Tennis Center","1"
"Hengqin Tennis Center","1"
"Palazzetto dello Sport","1"
"The Queens Club","1"
"Steffi-Graf Stadium","1"
"Gerry Weber Stadium","1"
"National Taiwan University Sports Center","1"
"Limak Arcadia Sport Resort","1"
"Circolo del Tennis Firenze 1898","1"
