"competition_name","type","gender"
"UTR PTT Dusseldorf Men 01","singles","men"
"UTR PTT Krakow Men 01","singles","men"
"UTR PTT Brisbane Women 02","singles","women"
"UTR PTT Dusseldorf Women 01","singles","women"
"UTR PTT Krakow Women 01","singles","women"
"UTR PTT Boston Women 01","singles","women"
"UTR PTT Newport Beach Women 11","singles","women"
"UTR PTT Budapest Men 02","singles","men"
"UTR PTT Waco Men 02","singles","men"
"UTR PTT Newport Beach Men 10","singles","men"
"UTR PTT Bali Men +H 01","singles","men"
"UTR PTT Lincoln Men 02","singles","men"
"UTR PTT Budapest Women 02","singles","women"
"UTR PTT Tokyo Women 01","singles","women"
"UTR PTT Waco Women 02","singles","women"
"UTR PTT Lincoln Women 01","singles","women"
"UTR PTT Budapest Men 03","singles","men"
"UTR PTT Monchengladbach Men 01","singles","men"
"UTR PTT Lovedale Men 03","singles","men"
"UTR PTT College Station Men 02","singles","men"
"UTR PTT Los Angeles Men 04","singles","men"
"UTR PTT Blacksburg Men 01","singles","men"
"UTR PTT Budapest Women 03","singles","women"
"UTR PTT Monchengladbach Women 01","singles","women"
"UTR PTT Lovedale Women 03","singles","women"
"UTR PTT College Station Women 01","singles","women"
"UTR PTT Los Angeles Women 03","singles","women"
"UTR PTT Blacksburg Women 01","singles","women"
"UTR PTT Cordoba Men +H 03","singles","men"
"UTR PTT Athens Men 01","singles","men"
"UTR PTT Boise Men 01","singles","men"
"UTR PTT Newport Beach Women 12","singles","women"
"UTR PTT Athens Women 01","singles","women"
"UTR PTT Boise Women 01","singles","women"
"UTR PTT Dallas Women 01","singles","women"
"UTR PTT Yokohama Men 05","singles","men"
"UTR PTT Belgrade Men 03","singles","men"
"UTR PTT Norman Men 03","singles","men"
"UTR PTT Cordoba Men +H 04","singles","men"
"UTR PTT Charlotte Men 01","singles","men"
"UTR PTT San Diego Men 01","singles","men"
"UTR PTT Yokohama Women 05","singles","women"
"UTR PTT Belgrade Women 03","singles","women"
"UTR PTT Norman Women 03","singles","women"
"UTR PTT San Diego Women 01","singles","women"
"UTR PTT Charlotte Women 01","singles","women"
"UTR PTT Yokohama Men 06","singles","men"
"UTR PTT Newport Beach Men 11","singles","men"
"UTR PTT Athens Men 02","singles","men"
"UTR PTT Waco Men 03","singles","men"
"UTR PTT Gold Coast Women 01","singles","women"
"UTR PTT Budapest Women 04","singles","women"
"UTR PTT Yokohama Women 06","singles","women"
"UTR PTT Athens Women 02","singles","women"
"UTR PTT Gold Coast Men 01","singles","men"
"UTR PTT Budapest Men 04","singles","men"
"WTA 125k Quito, Ecuador Women Doubles","doubles","women"
"UTR PTT Gold Coast Men 02","singles","men"
"UTR PTT Bali Men +H 02","singles","men"
"UTR PTT Olomouc Men 06","singles","men"
"UTR PTT Boise Men 02","singles","men"
"UTR PTT Knoxville Men 03","singles","men"
"UTR PTT San Diego Men 02","singles","men"
"UTR PTT Gold Coast Women 02","singles","women"
"UTR PTT Olomouc Women 05","singles","women"
"UTR PTT Boise Women 02","singles","women"
"UTR PTT Knoxville Women 03","singles","women"
"UTR PTT San Diego Women 02","singles","women"
"UTR PTT Hamburg Men 01","singles","men"
"UTR PTT Krakow Men 02","singles","men"
"UTR PTT Urbana Men 02","singles","men"
"UTR PTT Denver Men 02","singles","men"
"UTR PTT Waco Men 04","singles","men"
"UTR PTT Hamburg Women 01","singles","women"
"UTR PTT Skopje Women +H 03","singles","women"
"UTR PTT Urbana Women 02","singles","women"
"UTR PTT Denver Women 02","singles","women"
"UTR PTT Skopje Men +H 04","singles","men"
"UTR PTT Covilha Men +H 01","singles","men"
"UTR PTT Ithaca Men 01","singles","men"
"UTR PTT Tallahassee Men 01","singles","men"
"UTR PTT Gunma Women 01","singles","women"
"UTR PTT Olomouc Women 06","singles","women"
