"venue_name","timezone"
"Court 3","Australia/Sydney"
"Court 4","Australia/Sydney"
"Court 5","Australia/Sydney"
"Court 6","Australia/Sydney"
"Court 8","Australia/Sydney"
"Center Court","Australia/Sydney"
"Court 7","Australia/Sydney"
"Court 9","Australia/Sydney"
"Show Court 1","Australia/Sydney"
"Centre Court","Asia/Hong_Kong"
"Court 1","Asia/Hong_Kong"
"Court 2","Asia/Hong_Kong"
"Court 11","Asia/Hong_Kong"
"Court 13","Asia/Hong_Kong"
"Show Court 1","Asia/Hong_Kong"
"Show Court 2","Asia/Hong_Kong"
"Show Court 3","Asia/Hong_Kong"
"Court 3","Asia/Hong_Kong"
"Court 12","Asia/Hong_Kong"
"Court 10","Asia/Hong_Kong"
"Court 6","Asia/Hong_Kong"
"Court 5","Asia/Hong_Kong"
"Court 5","Asia/Hong_Kong"
"Indoor C1","Asia/Hong_Kong"
"Indoor C2","Asia/Hong_Kong"
"Central Court","Asia/Shanghai"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Court 3","Asia/Shanghai"
"Court 4","Asia/Shanghai"
"Court 5","Asia/Shanghai"
"Indoor Court 2","Asia/Shanghai"
"Indoor 3","Asia/Shanghai"
"Indoor 4","Asia/Shanghai"
"Indoor 1","Asia/Shanghai"
"Indoor 1","Asia/Tashkent"
"Indoor 2","Asia/Tashkent"
"Diamond","Asia/Shanghai"
"Center","Asia/Tokyo"
"Court 1","Asia/Tokyo"
"Court 2","Asia/Tokyo"
"Court 3","Asia/Tokyo"
"Court 4","Asia/Tokyo"
"Court 8","Asia/Tokyo"
"Court 9","Asia/Tokyo"
"Stadium","America/New_York"
"SportMaster Grandstand","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court C","America/New_York"
"Court 4","America/New_York"
"Court A","America/New_York"
"Court G","America/New_York"
"Court I","America/New_York"
"Court G","America/New_York"
"Stadium","Canada/Eastern"
"Rogers 5G Grandstand","Canada/Eastern"
"Court 1","Canada/Eastern"
"Court 3","Canada/Eastern"
"Center Court","Canada/Eastern"
"Court 4","Canada/Eastern"
"Court 2","Canada/Eastern"
"Court 5","Canada/Eastern"
"Court 10","Canada/Eastern"
"Court 12","Canada/Eastern"
"Court 9","Canada/Eastern"
"National Bank Grandstand","Canada/Eastern"
"Grandstand","Canada/Eastern"
"Cashmere Grandstand","Canada/Eastern"
"Motorola razr Grandstand Court","Canada/Eastern"
"P&G Center Court","America/New_York"
"Court 2","Europe/Paris"
"P&G Grandstand","America/New_York"
"Court 3","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"Court 1","America/New_York"
"Stadium","America/New_York"
"Court 9","America/New_York"
"Court 6","America/New_York"
"Court 7","America/New_York"
"Porsche Court","America/New_York"
"Holcim Stadium 3","America/New_York"
"Court 8","America/New_York"
"Court 11","America/New_York"
"Court 10","America/New_York"
"P&G Stadium Court","America/New_York"
"Champions' Court","America/New_York"
"Grandstand","America/New_York"
"Centre Court","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 1","Europe/Paris"
"Court Patrice Dominguez","Europe/Paris"
"Court A","Europe/Paris"
"Court B","Europe/Paris"
"Court D","Europe/Paris"
"Court 4","Europe/Paris"
"Indoor C","Europe/Paris"
"Indoor Court 1","Europe/Paris"
"Centre Court","Europe/London"
"Court 1","Europe/London"
"Court 2","Europe/London"
"Court 3","Europe/London"
"Court 4","Europe/London"
"Ann Jones Centre Court","Europe/London"
"Indoor 4","Europe/London"
"Indoor 6","Europe/London"
"Court 5","Europe/London"
"Court 6","Europe/London"
"Center Court","Africa/Casablanca"
"Court 1","Africa/Casablanca"
"Court 2","Africa/Casablanca"
"Court 4","Africa/Casablanca"
"Court 5","Africa/Casablanca"
"Court 9","Africa/Casablanca"
"Center Court","Europe/Berlin"
"Show Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 4","Europe/Berlin"
"Show Court 3","Europe/Berlin"
"Court 5","Europe/Berlin"
"Centre Court","Europe/London"
"Court 1","Europe/London"
"Court 2","Europe/London"
"Court 3","Europe/London"
"Court 4","Europe/London"
"Court 5","Europe/London"
"Court 7","Europe/London"
"Court 8","Europe/London"
"Court 9","Europe/London"
"Court 10","Europe/London"
"Court 11","Europe/London"
"Court 12","Europe/London"
"ECM Court","Europe/Prague"
"Centre Court","Europe/Prague"
"Court A","Europe/Prague"
"Allianz Court","Europe/Prague"
"Court 7","Europe/Prague"
"Court 6","Europe/Prague"
"Court 5","Europe/Prague"
"Court 3","Europe/Prague"
"Court 8","Europe/Prague"
"Court 6 - Centre","Europe/Prague"
"Court 1","Europe/Prague"
"Sparta Centre Court","Europe/Prague"
"Court 11","Europe/Prague"
"Court 13","Europe/Prague"
"Court 2","Europe/Prague"
"Practice Court 1","Europe/Prague"
"Centre Court","Asia/Qatar"
"Court 1","Asia/Qatar"
"Court 2","Asia/Qatar"
"Court 4","Asia/Qatar"
"Court 3","Asia/Qatar"
"Court 5","Asia/Qatar"
"Court A","Asia/Qatar"
"Court B","Asia/Qatar"
"Grandstand 1","Asia/Qatar"
"Grandstand 2","Asia/Qatar"
"Grandstand 3","Asia/Qatar"
"Grandstand 4","Asia/Qatar"
"Court 2","America/Mexico_City"
"Estadio GNP Seguros","America/Mexico_City"
"Cancha 1","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Cancha  3","America/Mexico_City"
"Cancha 4","America/Mexico_City"
"Court 3","America/Mexico_City"
"Court Torner","America/Mexico_City"
"Court 5","America/Mexico_City"
"Court 8","America/Mexico_City"
"Court 7","America/Mexico_City"
"Quadra Guga Kuerten","Brazil/East"
"Quadra 2","Brazil/East"
"Court 3","Brazil/East"
"Court 6","Brazil/East"
"Quadra 5","Brazil/East"
"Court 7","Brazil/East"
"Court 8","Brazil/East"
"Quadra 4","Brazil/East"
"Quadra 3","Brazil/East"
"Quadra 1","Brazil/East"
"Centra Court","Brazil/East"
"Court 2","Brazil/East"
"Center Court","Brazil/East"
"Court 1","Brazil/East"
"Quadra Central","Brazil/East"
"Central Court","Brazil/East"
"Central","Brazil/East"
"Cancha Central","America/Mexico_City"
"Cancha 4","America/Mexico_City"
"Cancha 5","America/Mexico_City"
"Credit One Stadium","America/New_York"
"Court 7","America/New_York"
"Court 5","America/New_York"
"Court 4","America/New_York"
"Court 3","America/New_York"
"Althea Gibson Club Court","America/New_York"
"Center Court","Europe/Zurich"
"Court 2","Europe/Zurich"
"IWB Court 1","Europe/Zurich"
"Court 3","Europe/Zurich"
"Court 4","Europe/Zurich"
"Court 5","Europe/Zurich"
"Table 3","Europe/Zurich"
"Table 1","Europe/Zurich"
"Table 4","Europe/Zurich"
"Table 2","Europe/Zurich"
"Court 6","Europe/Zurich"
"COURT B","Europe/Vienna"
"Next Gen Court","Europe/Vienna"
"Court 2","Asia/Shanghai"
"Center Court","Asia/Shanghai"
"Pat Rafter Arena","Australia/Brisbane"
"Court 1","Australia/Brisbane"
"Court 2","Australia/Brisbane"
"Court 5","Australia/Brisbane"
"Court 10","Australia/Brisbane"
"Court 14","Australia/Brisbane"
"Court 16","Australia/Brisbane"
"Ct 6","Australia/Brisbane"
"Ct 4","Australia/Brisbane"
"Stadium Court","Australia/Brisbane"
"Show Court 2","Australia/Brisbane"
"Ct 10","Australia/Brisbane"
"Ct 8","Australia/Brisbane"
"Ct 14","Australia/Brisbane"
"Court 6","Australia/Brisbane"
"Court 3","Australia/Brisbane"
"Show Court 1","Australia/Brisbane"
"Ct 16","Australia/Brisbane"
"Ct 13","Australia/Brisbane"
"Ct 15","Australia/Brisbane"
"Court 3","Europe/Berlin"
"Court 5","Europe/Berlin"
"Court 4","Europe/Berlin"
"Head Gravity Court","Europe/Berlin"
"Centre Court","Europe/Stockholm"
"Court 1","Europe/Stockholm"
"Court 2","Europe/Stockholm"
"Court 3","Europe/Stockholm"
"ShowCourt","Europe/Stockholm"
"Centre Court","Europe/Vienna"
"Grandstand","Europe/Vienna"
"Court Kuchenmeister","Europe/Vienna"
"Court 3","Europe/Vienna"
"Court 2","Europe/Vienna"
"Kaps","Europe/Vienna"
"Court Riedel","Europe/Vienna"
"Court Stadtwerke","Europe/Vienna"
"Court 5","Europe/London"
"Stadion","Europe/Berlin"
"Court 1","Europe/London"
"Court 3","Europe/London"
"Centre Court","Europe/London"
"Court 2","Europe/London"
"Court 4","Europe/London"
"Court 7","Europe/London"
"Court 8","Europe/London"
"Indoor 2","Europe/London"
"Indoor 4","Europe/London"
"Court 5","Europe/London"
"Court 6","Europe/London"
"Court 9","Europe/London"
"Indoor 5","Europe/London"
"Indoor 6","Europe/London"
"Indoor 1","Europe/London"
"Trent 1","Europe/London"
"Trent 2","Europe/London"
"Indoor 3","Europe/London"
"Court 1","Europe/Stockholm"
"Court 2","Europe/Stockholm"
"Court 3","Europe/Stockholm"
"Court 4","Europe/Stockholm"
"Court 5","Europe/Stockholm"
"Centre Court","Europe/Stockholm"
"Centre Court","Europe/Zurich"
"Court 2","Europe/Zurich"
"Court 1","Europe/Zurich"
"Court 3","Europe/Zurich"
"Court 4","Europe/Zurich"
"Centre Court","Europe/Brussels"
"Court 1","Europe/Brussels"
