"venue_name","timezone"
"Court 5","America/New_York"
"Cammisa Court","America/New_York"
"Kennedy-Grossman Court","America/New_York"
"Tad Taube Court","America/New_York"
"Luzhniki Stadium","Europe/Moscow"
"Center Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 4","Europe/Berlin"
"Court 3","Australia/Adelaide"
"Court 4","Australia/Adelaide"
"Court 5","Australia/Adelaide"
"Center Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 2","America/Guayaquil"
"Court 3","America/Guayaquil"
"Court 4","America/Guayaquil"
"Court 5","America/Guayaquil"
"Court 6","America/Guayaquil"
"Cancha 3","America/Guayaquil"
"Centre Court","Europe/Rome"
"Court 14","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 15","Europe/Rome"
"Allianz Cloud Court","Europe/Rome"
"Court 5","Europe/Lisbon"
"Center Court","Europe/Lisbon"
"Court 4","Europe/Lisbon"
"Center Court","Pacific/Honolulu"
"Court 1","Pacific/Honolulu"
"Court 6","Pacific/Honolulu"
"Court 2","Pacific/Honolulu"
"Court 3","Pacific/Honolulu"
"Court 4","Pacific/Honolulu"
"Court 5","Pacific/Honolulu"
"Stadium","Pacific/Honolulu"
"Court 10","Pacific/Honolulu"
"Court 9","Pacific/Honolulu"
"Court 3","Australia/ACT"
"Court 1","Australia/ACT"
"Court 13","Australia/ACT"
"Court 11","Australia/ACT"
"Court 10","Australia/ACT"
"Court 2","Australia/ACT"
"Stade Numa-Daly Magenta","Pacific/Noumea"
"Court N'godrela","Pacific/Noumea"
"Court Morault","Pacific/Noumea"
"Court 7","Pacific/Noumea"
"Court 8","Pacific/Noumea"
"Court Hertz","Pacific/Noumea"
"Centre Court","Australia/Melbourne"
"Court 1","America/Santiago"
"Court 2","America/Santiago"
"Court 3","America/Santiago"
"Cancha Central","America/Santiago"
"San Carlos De Apoquindo","America/Santiago"
"Court Jaime Fillol","America/Santiago"
"Campo Centrale","Europe/Rome"
"Campo 14","Europe/Rome"
"Campo 2","Europe/Rome"
"Cancha 1","America/La_Paz"
"Cancha 2","America/La_Paz"
"Court 5","America/La_Paz"
"Court 4","America/La_Paz"
"Cancha 3","America/La_Paz"
"Cancha 6","America/La_Paz"
"Cancha 7","America/La_Paz"
"Cancha 5","America/La_Paz"
"Cancha Central","America/La_Paz"
"Cancha Central","America/Asuncion"
"Cancha 3","America/Asuncion"
"Cancha 4","America/Asuncion"
"Court 3","Asia/Tbilisi"
"Court 2","Asia/Tbilisi"
"Court 1","Asia/Tbilisi"
"Court 4","Asia/Tbilisi"
"Centre Court","Asia/Tbilisi"
"Centralni Teren","Europe/Belgrade"
"Teren 6","Europe/Belgrade"
"Teren 7","Europe/Belgrade"
"Teren 8","Europe/Belgrade"
"Teren 9","Europe/Belgrade"
"Teren 10","Europe/Belgrade"
"Pista 12","Europe/Madrid"
"Pista 13","Europe/Madrid"
"Pista 11","Europe/Madrid"
"Pista 14","Europe/Madrid"
"Court 9","Europe/Prague"
"Court 1","Europe/London"
"Center Court","Europe/London"
"Court 3","America/New_York"
"Court 2","America/New_York"
"Center Court","America/New_York"
"Court 1","Asia/Shanghai"
"Court 2","Asia/Shanghai"
"Center Court","Asia/Shanghai"
"Grandstand","Asia/Shanghai"
"Centre Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 3","Europe/Rome"
"Court 4","Europe/Rome"
"Court 5","Europe/Rome"
"Court 6","Europe/Rome"
"Center Court","Europe/Rome"
"Pietrangeli","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 10","Europe/Rome"
"Super Tennis Arena","Europe/Rome"
"Grand Stand Arena","Europe/Rome"
"Court 12","Europe/Rome"
"Court 13","Europe/Rome"
"Campo Centrale","Europe/Rome"
"Court 14","Europe/Rome"
"Court 15","Europe/Rome"
"Forte Village Court","Europe/Rome"
"Sardegna Court","Europe/Rome"
"Court 5","Europe/Rome"
"Court 2","Europe/Istanbul"
"Center Court","Asia/Dubai"
"Stadium Court","Asia/Dubai"
"Court 1","Asia/Dubai"
"Court 2","Asia/Dubai"
"Court 3","Asia/Dubai"
"Court 4","Asia/Dubai"
"ADCB Court 1","Asia/Dubai"
"Court 10","Africa/Johannesburg"
"Court 1","Africa/Johannesburg"
"Court 8","Africa/Johannesburg"
"Palapajetta Court","Europe/Rome"
"Jocker Court","Europe/Rome"
"Cancha Central","America/Santiago"
"Cancha 1","America/Santiago"
"Cancha 2","America/Santiago"
"Center Court","Asia/Singapore"
"Court 12","Europe/Paris"
"Court 2","Europe/Moscow"
"CANCHA 1","America/Argentina/Cordoba"
"CANCHA 3","America/Argentina/Cordoba"
"Cancha Central","America/Argentina/Cordoba"
"Center Court","Europe/Istanbul"
"Court 2","Europe/Istanbul"
"Court Can Uner","Europe/Istanbul"
"Court 3","Europe/Istanbul"
"Court 15","Europe/Zagreb"
"Court 14","Europe/Zagreb"
"Court 13","Europe/Zagreb"
"Court 16","Europe/Zagreb"
"Court 17","Europe/Zagreb"
"Center Court","Europe/Rome"
"Grand Stand","Europe/Rome"
"Court 1","Europe/Rome"
"Stadium","America/Chicago"
"Court 1","America/Chicago"
"Court 13","America/Chicago"
"Indoor Ct1","America/Chicago"
"Indoor Ct3","America/Chicago"
"Court 2","America/Chicago"
"Court 1","Europe/Lisbon"
"Court 2","Europe/Lisbon"
"Court Vila Gale Hotel","Europe/Lisbon"
"Court McDonalds Antas","Europe/Lisbon"
"Court Carlsberg","Europe/Lisbon"
"Banco Carregosa","Europe/Lisbon"
"Grandstand","Europe/Rome"
"Court 3","Europe/Rome"
"Campo 4","Europe/Rome"
"Center Court","Europe/Rome"
"Court 2","Europe/Vienna"
"Court 6","Europe/Vienna"
"Court 1","Europe/Vienna"
"Court 3","Europe/Vienna"
"Court 7","Europe/Vienna"
"Court 8","Europe/Vienna"
"Center Court","Europe/Vienna"
"Center Court","Europe/Berlin"
"Court 11","Europe/Berlin"
"Court 5","Europe/Berlin"
"Court 7","Europe/Berlin"
"Court 12","Europe/Berlin"
"Brawo Center Court","Europe/Berlin"
"Court 1","Europe/Bucharest"
"Court 3","Europe/Bucharest"
"Court 4","Europe/Bucharest"
"Court 2","Europe/Bucharest"
"Court 5","Europe/Bucharest"
"Center Court","Europe/Bucharest"
"Court 6","Europe/Bucharest"
"Court 1","Europe/Brussels"
"Court 2","Europe/Brussels"
"Court 3","Europe/Brussels"
"Center Court","Europe/Brussels"
"Van Mossel Kia Court","Europe/Brussels"
"KNLTB Court","Europe/Brussels"
"Schoonderbeekbouw Court","Europe/Brussels"
"Grandstand","Europe/Rome"
"Campo 1","Europe/Rome"
"Centre Court","Europe/Rome"
"Court 4","Europe/Rome"
"Court 6","Europe/Rome"
"Centre Court","Europe/Warsaw"
"Court 1","Europe/Warsaw"
"Court 2","Europe/Warsaw"
"Court 1","America/Mexico_City"
"Grandstand Caliente","America/Mexico_City"
"Court 2","America/Mexico_City"
"Stadium CSC","America/Mexico_City"
"Goran Ivanisevic Stadium","Europe/Zagreb"
"Grandstand","Europe/Zagreb"
"Court 1","Europe/Zagreb"
"Court 2","Europe/Zagreb"
"Court 4","Europe/Zagreb"
"Court 3","Europe/Zagreb"
"Court 5","Europe/Zagreb"
"Studenac Arena","Europe/Zagreb"
"Court 15","America/New_York"
"Court 13","America/New_York"
"Indoor 3","America/New_York"
"Stadium","America/New_York"
"Court 10","America/New_York"
"Court 4","America/New_York"
"Court 12","America/New_York"
"Court 2","Europe/Rome"
"Court 4","Europe/Rome"
"Center court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 3","Europe/Rome"
"Indoor 8","Europe/Rome"
"Indoor 7","Europe/Rome"
"Court 9","Europe/Rome"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 7","America/New_York"
"Center Court","America/New_York"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Svijany Court","Europe/Prague"
"Gea Court","Europe/Prague"
"Mlyn Perner Court","Europe/Prague"
"Syner Court","Europe/Prague"
"Pernerka Court","Europe/Prague"
"Wilson","Europe/Prague"
"INDOOR B","Europe/Prague"
"INDOOR C","Europe/Prague"
"Center Court","Europe/San_Marino"
"Court 2 De Luigi","Europe/San_Marino"
"Court 3","Europe/San_Marino"
"Court 1","Europe/San_Marino"
"Court 2","Europe/San_Marino"
"Campo 4","Europe/Rome"
"Campo 5","Europe/Rome"
"Campo Centrale","Europe/Rome"
"Campo 6","Europe/Rome"
"Volvo Arena","Europe/Rome"
"Grandstand","Europe/Rome"
"Centre Court","Europe/Berlin"
"Court 3","Europe/Berlin"
"Court 7","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Indoor 1","Europe/Berlin"
"Indoor 2","Europe/Berlin"
"Court 1","America/Chicago"
"Court 2","America/Chicago"
"Court 3","America/Chicago"
"Court 4","America/Chicago"
"Court 5","America/Chicago"
"Indoor 10","America/Chicago"
"Indoor 8","America/Chicago"
"Stadium","America/Chicago"
"Center Court","America/Chicago"
"Indoor 9","America/Chicago"
"Court 21","America/Chicago"
"Court 23","America/Chicago"
"Indoor 6","America/Chicago"
"Court 1","America/New_York"
"Court 2","America/New_York"
"Stadium Court","America/New_York"
"Indoor 1","America/New_York"
"Indoor 2","America/New_York"
"Center Court","Europe/Warsaw"
"Court 1","Europe/Warsaw"
"Court 2","Europe/Warsaw"
"Court 3","Europe/Warsaw"
"Court 4","Europe/Warsaw"
"Court 6","Europe/Warsaw"
"Indoor 1","Europe/Warsaw"
"Indoor 2","Europe/Warsaw"
"Indoor 3","Europe/Warsaw"
"Klenert Court","Europe/Berlin"
"Center Court","Europe/Berlin"
"Staerk Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Centre Court","Europe/Sarajevo"
"Court 5","Europe/Sarajevo"
"Court 3","Europe/Sarajevo"
"Court 1","Europe/Sarajevo"
"Central Cabesto","Europe/Paris"
"Court Club House","Europe/Paris"
"Court 8","Europe/Paris"
"Court 9","Europe/Paris"
"Court 1","Europe/Paris"
"Court 7","Europe/Paris"
"Court 2","Europe/Paris"
"Court 1","Europe/Kyiv"
"Court 5","Europe/Kyiv"
"Court 2","Europe/Kyiv"
"Court 3","Europe/Kyiv"
"Court 4","Europe/Kyiv"
"Court 10","Europe/Kyiv"
"Court 12","Europe/Kyiv"
"Court 11","Europe/Kyiv"
"Court 3","Europe/Madrid"
"Court 2","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Pista 1","Europe/Madrid"
"Center Court","Europe/Madrid"
"Central","Europe/Madrid"
"Court 6","Europe/Madrid"
"Court 5","Europe/Madrid"
"Court 9","Europe/Madrid"
"Court 1","Europe/Madrid"
"Pista 6","Europe/Madrid"
"Pista 5","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Centre Court","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 2","Europe/Berlin"
"Court 3","Europe/Berlin"
"Grandstand","Europe/Berlin"
"Center Court","Europe/Istanbul"
"Court 9 Limak","Europe/Istanbul"
"Court 3","Europe/Istanbul"
"Grand Tarabaya Court","Europe/Istanbul"
"Cancha 2","America/Guayaquil"
"Cancha 5","America/Guayaquil"
"Cancha 1","America/Guayaquil"
"Cancha 3","America/Guayaquil"
"Stadium","America/Guayaquil"
"Cancha 4","America/Guayaquil"
"Cancha 8","America/Guayaquil"
"Central Court","Europe/Warsaw"
"Court 1","Europe/Warsaw"
"Court 2","Europe/Warsaw"
"Court 6","Europe/Warsaw"
"Court 8","Europe/Warsaw"
"Court 5","Europe/Warsaw"
"Court 4","Europe/Warsaw"
"Court 3","Europe/Warsaw"
"Court 7","Europe/Warsaw"
"Court Francoise Savatier","Europe/Paris"
"Court Le Liberte","Europe/Paris"
"Court Saint Gregoire 1","Europe/Paris"
"Center Court","Europe/Zurich"
"Court 2","Europe/Zurich"
"Court 3","Europe/Zurich"
"Court 1","Europe/Zurich"
"Court 4","Europe/Zurich"
"Match Court","Europe/Zurich"
"Centre Court","Europe/Athens"
"Court 20","Europe/Athens"
"Court 21","Europe/Athens"
"Court 2","Europe/Bucharest"
"COURT 3","Europe/Bucharest"
"Court 1","Europe/Bucharest"
"Central Court","Europe/Bucharest"
"Court 8","Europe/Bucharest"
"Court 10","Europe/Bucharest"
"Court 6","Europe/Bucharest"
"Court 7","Europe/Bucharest"
"Court 9","Europe/Bucharest"
"Estadio 1. de Maio","Europe/Lisbon"
"Center Court","Europe/Lisbon"
"Court 1","Europe/Lisbon"
"Court 2","Europe/Lisbon"
"Court 3","Europe/Lisbon"
"Indoor 6","Europe/Lisbon"
"Indoor 5","Europe/Lisbon"
"Indoor 1","Europe/Lisbon"
"Indoor 2","Europe/Lisbon"
"Center Court","America/Guayaquil"
"Court 1","America/Guayaquil"
"Court 2","America/Guayaquil"
"Court 3","America/Guayaquil"
"Court 4","America/Guayaquil"
"Centre Court","Europe/Bucharest"
"Court 5","Europe/Bucharest"
"Court 6","Europe/Bucharest"
"Court 8","Europe/Bucharest"
"Court 7","Europe/Bucharest"
"Barnes Stadium","America/Los_Angeles"
"Stadium 2","America/Los_Angeles"
"Court 1","America/Los_Angeles"
"Grandstand","America/Los_Angeles"
"Stadium Court","America/Los_Angeles"
"Hologic Court 2","America/Los_Angeles"
"Court 2","America/Los_Angeles"
"Court 2","Europe/Rome"
"Arena","Europe/Rome"
"Campo D'Avalos","Europe/Rome"
"Campo Fabrizio Gasparini","Europe/Rome"
"Court 1","Europe/Rome"
"TC Pozzuoli Court 1","Europe/Rome"
"TC Pozzuoli Court 2","Europe/Rome"
"Campo 2","Europe/Rome"
"Centre Court","Europe/Rome"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Center Court","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Court 1","Europe/Madrid"
"Grandstand","Europe/Madrid"
"Court 5","Europe/Madrid"
"Court 6","Europe/Madrid"
"Tennis Centar Punta","Europe/Zagreb"
"Court 4","Europe/Rome"
"PalaAgnelli","Europe/Rome"
"Italcementi","Europe/Rome"
"Palaintred","Europe/Rome"
"Court 1","UTC"
"Meredith McGrath Stadium Court","UTC"
"Court 2","UTC"
"Court 4","UTC"
"Court Pierre Troisgros","Europe/Paris"
"Court 1","Europe/Paris"
"Centre Court","Europe/Rome"
"Court 1","Brazil/East"
"Court 2","Brazil/East"
"Court 3","Brazil/East"
"Centre Court","Brazil/East"
"Quadra 9","Brazil/East"
"Indoor 5","Brazil/East"
"Indoor 4","Brazil/East"
"Court 3","Asia/Bahrain"
"Court 4","Asia/Bahrain"
"Court 5","Asia/Bahrain"
"Center Court","Asia/Bahrain"
"Court 1","Asia/Bahrain"
"Court 7","Asia/Bahrain"
"Court CC","Asia/Bahrain"
"Court 2","Asia/Bahrain"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 3","Europe/Rome"
"Court 2","Europe/Rome"
"Indoor Court","Europe/Rome"
"Estadio Puerto Vallarta","America/Mexico_City"
"Cancha La Aficion","America/Mexico_City"
"Center Court","America/Mexico_City"
"Court 2","America/Mexico_City"
"Court 3","America/Mexico_City"
"Cancha 7","America/Mexico_City"
"Estadio Puerto Magico","America/Mexico_City"
"Cancha Vino America","America/Mexico_City"
"Center Court","Europe/Rome"
"Grandstand","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Citta Di Forlì","Europe/Rome"
"Gencom","Europe/Rome"
"Centre Court 1","America/Sao_Paulo"
"Court 1","America/Sao_Paulo"
"Court 2","America/Sao_Paulo"
"Court 3","America/Sao_Paulo"
"Court 7","America/Sao_Paulo"
"Court 11","America/Sao_Paulo"
"Court 4","America/Sao_Paulo"
"Court 12","America/Sao_Paulo"
"Court 9","America/Sao_Paulo"
"Court 10","America/Sao_Paulo"
"Court 8","America/Sao_Paulo"
"Court 13","America/Sao_Paulo"
"Centre Court","America/Sao_Paulo"
"Court 14","America/Sao_Paulo"
"Quadra Central","America/Sao_Paulo"
"Quadra 13","America/Sao_Paulo"
"Quadra 14","America/Sao_Paulo"
"Quadra 8","America/Sao_Paulo"
"Quadra 3","America/Sao_Paulo"
"Quadra 2","America/Sao_Paulo"
"Center Court","Europe/Istanbul"
"Court 5","Europe/Istanbul"
"Court 6","Europe/Istanbul"
"Court 4","Europe/Istanbul"
"Court 9","Europe/Istanbul"
"Court 2","Europe/Istanbul"
"Court 8","Europe/Istanbul"
"Court 11","Europe/Istanbul"
"Court 10","Europe/Istanbul"
"Court 16","Europe/Istanbul"
"Court 13","Europe/Istanbul"
"Court 7","Europe/Istanbul"
"Court 22","Europe/Istanbul"
"Court 17","Europe/Istanbul"
"Court 20","Europe/Istanbul"
"Court 21","Europe/Istanbul"
"Court 1","Europe/Istanbul"
"Court 3","Europe/Istanbul"
"Court 14","Europe/Istanbul"
"Court 23","Europe/Istanbul"
"Court 24","Europe/Istanbul"
"Court 3","Europe/Paris"
"Court Central","Europe/Paris"
"Court 7","Europe/Paris"
"Court 4","Europe/Paris"
"Court 5","Europe/Paris"
"Centre Court","Europe/Paris"
"Court 6","Europe/Paris"
"Court 1","Brazil/East"
"Court 2","Brazil/East"
"Court 11","Asia/Seoul"
"Indoor 5","Asia/Seoul"
"Indoor 7","Asia/Seoul"
"Indoor 8","Asia/Seoul"
"Court 4","Asia/Seoul"
"Centre Court","Asia/Seoul"
"Court 3","Asia/Seoul"
"Indoor C5","Asia/Seoul"
"Indoor 6","Asia/Seoul"
"Grandstand","Asia/Seoul"
"Court 1","Asia/Seoul"
"Stadium","America/Chicago"
"Grandstand","America/Chicago"
"Court 1","Europe/Moscow"
"Court 2","Europe/Moscow"
"Court 3","Europe/Moscow"
"Court 9","Europe/Moscow"
"Court 5","Europe/Moscow"
"Court 8","Europe/Moscow"
"Court 11","Europe/Moscow"
"Court 4","Europe/Moscow"
"Court 10","Europe/Moscow"
"Court 12","Europe/Moscow"
"Court 7","Europe/Moscow"
"Court 6","Europe/Moscow"
"Court 10","Europe/Moscow"
"Central Court","Europe/Moscow"
"Court 4","Europe/Madrid"
"Court 5","Europe/Madrid"
"Court Center","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Grandstand","Europe/Madrid"
"Court 1","Europe/Madrid"
"Campo Centrale","Europe/Rome"
"Court 1","Europe/Rome"
"Campo 2","Europe/Rome"
"Court 3","Europe/Rome"
"Campo 4","Europe/Rome"
"Campo 5","Europe/Rome"
"Campo 9","Europe/Rome"
"Indoor 1","Europe/Rome"
"Indoor 2","Europe/Rome"
"Campo 3","Europe/Rome"
"Court 1","Asia/Bangkok"
"Court A","Asia/Bangkok"
"Court 8","Asia/Bangkok"
"Court 3","Asia/Bangkok"
"Court 2","Asia/Bangkok"
"Center Court","Asia/Bangkok"
"Court B","Asia/Bangkok"
"Center Court","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Cancha Central","America/Santiago"
"Court 2","America/Santiago"
"Cancha 4","America/Santiago"
"Cancha 6","America/Santiago"
"Cancha 14","America/Santiago"
"Cancha 16","America/Santiago"
"Cancha 17","America/Santiago"
"Cancha 1","America/Santiago"
"Cancha 3","America/Santiago"
"Centre Court","America/Santiago"
"Court 16","America/Santiago"
"Court 15","America/Santiago"
"Court 11","America/Santiago"
"Court 4","America/Santiago"
"Central","America/Santiago"
"Court 6","America/Santiago"
"Court 7","America/Santiago"
"Court 8","America/Santiago"
"Cancha 11","America/Santiago"
"Estadio Hernan Ramirez Villegas","America/Bogota"
"Cancha 1","America/Bogota"
"Cancha 2","America/Bogota"
"Cancha 3","America/Bogota"
"Cancha 4","America/Bogota"
"Estadio","America/Bogota"
"Cancha Central","America/Bogota"
"Campo 1","America/Bogota"
"Campo 2","America/Bogota"
"Campo 3","America/Bogota"
"Campo 4","America/Bogota"
"Cancha Santiago Giraldo","America/Bogota"
"Corner Arena","Europe/Zurich"
"Centrale","Europe/Zurich"
"Campo 1","Europe/Zurich"
"Court 2","Europe/Zurich"
"Court 3","Europe/Zurich"
"Court 4","Europe/Zurich"
"Court 5","Europe/Zurich"
"TC Cureglia Court 1","Europe/Zurich"
"TC Cureglia Court 2","Europe/Zurich"
"TC Lido Lugano","Europe/Zurich"
"Indoor 2","Europe/Zurich"
"Indoor 1","Europe/Zurich"
"Court Marc Gicquel","Europe/Paris"
"Center Court","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 4","Europe/Paris"
"Estadio Rafael Osuna","America/Mexico_City"
"Grandstand","America/Mexico_City"
"Estadio","America/Mexico_City"
"Central","America/Mexico_City"
"Cancha 1","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Cancha 3","America/Mexico_City"
"Cancha 4","America/Mexico_City"
"Central","America/Guayaquil"
"Cancha 3","America/Guayaquil"
"Cancha 4","America/Guayaquil"
"Cancha 5","America/Guayaquil"
"Court 3","America/Guayaquil"
"Court 4","America/Guayaquil"
"Court 5","America/Guayaquil"
"Cancha Central","America/Guayaquil"
"Court 1","America/Guayaquil"
"Cancha 1","America/Guayaquil"
"Cancha 2","America/Guayaquil"
"Cancha Central A. Gomez","America/Guayaquil"
"Cancha N. Lapenti","America/Guayaquil"
"Cancha R. Viver","America/Guayaquil"
"Cancha P. Segura","America/Guayaquil"
"Court 6","Europe/Rome"
"Court 5","Europe/Rome"
"Center Court","Europe/Rome"
"Centrale","Europe/Rome"
"Campo 1","Europe/Rome"
"Campo 2","Europe/Rome"
"Court Central","Europe/Paris"
"Court Des Princes","Europe/Paris"
"EA de Massy","Europe/Paris"
"Court 9","Europe/Paris"
"Court 11","Europe/Paris"
"Court 14","Europe/Paris"
"Court Rainier III","Europe/Paris"
"Court 7","Europe/Paris"
"Court 13","Europe/Paris"
"Center","America/New_York"
"Court 4","America/New_York"
"Court 5","America/New_York"
"Court 9","America/New_York"
"Court 2","America/New_York"
"Court 3","America/New_York"
"Court 8","America/New_York"
"Court 7","America/New_York"
"Court 1","America/New_York"
"Elizabeth Moore Court","America/New_York"
"Remington Reynolds Court","America/New_York"
"Nick Bollettieri Court","America/New_York"
"Court 10","America/New_York"
"Campo 5","Europe/Rome"
"Center","Europe/Rome"
"Court 3","Europe/Rome"
"Court 4","Europe/Rome"
"Grand Stand","Europe/Rome"
"Indoor Angiulli Bari1","Europe/Rome"
"Indoor Angiulli Bari2","Europe/Rome"
"Indoor Angiulli Bari3","Europe/Rome"
"Campo 1","Europe/Rome"
"Campo 2","Europe/Rome"
"Court 5","Europe/Rome"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Indoor","Europe/Rome"
"Sporting 2","Europe/Rome"
"Center Court","America/Mexico_City"
"Court 1","America/Mexico_City"
"Court 2","America/Mexico_City"
"Court 3","America/Mexico_City"
"Court 4","America/Mexico_City"
"Cancha Central","America/Mexico_City"
"Cancha 1","America/Mexico_City"
"Cancha 2","America/Mexico_City"
"Cancha 3","America/Mexico_City"
"Cancha 4","America/Mexico_City"
"OTP Court","Europe/Zagreb"
"Center Court","Europe/Zagreb"
"Court 3","Europe/Zagreb"
"Court 4","Europe/Zagreb"
"Court 1","Europe/Zagreb"
"Court 2","Europe/Zagreb"
"Center","America/New_York"
"Court 1","America/New_York"
"Court 4","America/New_York"
"Court 3","America/New_York"
"Stadium Court","America/New_York"
"Court 5","America/New_York"
"Court 2","America/New_York"
"Gene Cox Stadium","America/New_York"
"Center Court","Europe/Istanbul"
"Court A","Europe/Istanbul"
"Court B","Europe/Istanbul"
"Court C","Europe/Istanbul"
"Court 1","Europe/Istanbul"
"Court 2","Europe/Istanbul"
"Court 3","Europe/Istanbul"
"Court 6","Europe/Istanbul"
"Court 4","Europe/Istanbul"
"Court 5","Europe/Istanbul"
"Court Steigenberger","Europe/Istanbul"
"Court 7","Europe/Istanbul"
"Indoor 3","Europe/Istanbul"
"Indoor 2","Europe/Istanbul"
"Pamukspor 1","Europe/Istanbul"
"Indoor 1","Europe/Istanbul"
"Court 1","Europe/Istanbul"
"Court 9","Europe/Istanbul"
"Court 9","Europe/Istanbul"
"Centre Court","Europe/Prague"
"Court 3","Europe/Prague"
"Court 4","Europe/Prague"
"Center Court","Europe/Rome"
"Campo 3","Europe/Rome"
"Campo 5","Europe/Rome"
"Court 4","Europe/Rome"
"Campo Centrale","Europe/Rome"
"Court 3","Europe/Rome"
"FUSP Center Court","Europe/Rome"
"Decathlon Court","Europe/Rome"
"SICEurope Court","Europe/Rome"
"Court 6","America/New_York"
"Court 16","America/New_York"
"Court 15","America/New_York"
"Savannah Toyota Court","America/New_York"
"The Landings Club","America/New_York"
"Center Court","America/New_York"
"Landings Company Court","America/New_York"
"Atlantic Radiology Court","America/New_York"
"Court 6","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court Central","Europe/Paris"
"Court 4","Europe/Paris"
"Indoor Central","Europe/Paris"
"Indoor 1","Europe/Paris"
"Indoor 2","Europe/Paris"
"Centre Court","Europe/Vienna"
"Court 1","Europe/Vienna"
"Court 2","Europe/Vienna"
"Cancha 3","Europe/Vienna"
"Stadium","Europe/Vienna"
"Court 1","Europe/Paris"
"Court 3","Europe/Paris"
"Court 5","Europe/Paris"
"Court Smart Trade","Europe/Paris"
"Court Nissan","Europe/Paris"
"Court Central Cepac","Europe/Paris"
"Court 2","Europe/Paris"
"Court Credit Agricole","Europe/Paris"
"Court Eiffage","Europe/Paris"
"Center Court","America/Bahia"
"Court 4","America/Bahia"
"Court Ideal Groupe","Europe/Paris"
"Court 11","Europe/Paris"
"Court 12","Europe/Paris"
"Court Patrice Dominguez","Europe/Paris"
"Court 2","Europe/Paris"
"Indoors 16","Europe/Paris"
"Indoors 17","Europe/Paris"
"Indoors 18","Europe/Paris"
"Court 4","Europe/Paris"
"CENTRAL SCC FRANCE","Europe/Paris"
"CENTRAL BIS ALPHA HOLDING","Europe/Paris"
"COURT 11 OCI INFORMATIQUE","Europe/Paris"
"Center Court","America/Santiago"
"Court 1","America/Santiago"
"Court 3","America/Santiago"
"Cancha 4","America/Santiago"
"Court 2","America/Santiago"
"Cancha Central","America/Santiago"
"Cancha 2","America/Santiago"
"Cancha 3","America/Santiago"
"Court 11","Asia/Almaty"
"Court 8","Asia/Almaty"
"Court 7","Asia/Almaty"
"Court 6","Asia/Almaty"
"Court 5","Asia/Almaty"
"Court 4","Asia/Almaty"
"Court 3","Asia/Almaty"
"Court 2","Asia/Almaty"
"Court 10","Asia/Almaty"
"Court 12","Asia/Almaty"
"Court 9","Asia/Almaty"
"Centre Court","Asia/Almaty"
"Court 1","Asia/Almaty"
"Court Central","Europe/Paris"
"Court 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 1","Europe/Rome"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Grandstand","Europe/Rome"
"Center Court","Europe/Rome"
"Court 6","Europe/Berlin"
"Court 1","Europe/Berlin"
"Court 7","Europe/Berlin"
"Court 8","Europe/Berlin"
"Court 5","Europe/Berlin"
"Centre Court 3","Europe/Berlin"
"Court 4","Europe/Berlin"
"Court 2","Europe/Berlin"
"Center Court","Europe/Berlin"
"B and B Court","Europe/Berlin"
"Court 1","Europe/Bratislava"
"Court 4","Europe/Bratislava"
"Court 6","Europe/Bratislava"
"Court 9","Europe/Bratislava"
"Central Court","Europe/Bratislava"
"Court 8","Europe/Bratislava"
"Court 11","Europe/Bratislava"
