"competition_name","category_name"
"ITF Men Queretaro, Mexico Men Doubles","ITF Men"
"ITF Men Galati, Romania Men Singles","ITF Men"
"ITF Men Galati, Romania Men Doubles","ITF Men"
"ITF Men Chaco, Argentina Men Singles","ITF Men"
"ITF Men Chaco, Argentina Men Doubles","ITF Men"
"ITF Men Tehran, Iran Men Singles","ITF Men"
"ITF Men Tehran, Iran Men Doubles","ITF Men"
"ITF Men Vsevolozhsk, Russia Men Singles","ITF Men"
"ITF Men Vsevolozhsk, Russia Men Doubles","ITF Men"
"ITF Men Wollongong, Australia Men Singles","ITF Men"
"ITF Men Wollongong, Australia Men Doubles","ITF Men"
"ITF Men Gwalior, India Men Singles","ITF Men"
"ITF Men Gwalior, India Men Doubles","ITF Men"
"ITF Men Santiago de los Caballeros, Dominican Republic Men Singles","ITF Men"
"ITF Men Santiago de los Caballeros, Dominican Republic Men Doubles","ITF Men"
"ITF Men Jassowal, India Men Singles","ITF Men"
"ITF Men Jassowal, India Men Doubles","ITF Men"
"ITF Men Sarajevo, Bosnia/Herzegovina Men Singles","ITF Men"
"ITF Men Sarajevo, Bosnia/Herzegovina Men Doubles","ITF Men"
"ITF Men Erzurum, Turkey Men Singles","ITF Men"
"ITF Men Erzurum, Turkey Men Doubles","ITF Men"
"ITF Men Duino Aurisina, Italy Men Singles","ITF Men"
"ITF Men Duino Aurisina, Italy Men Doubles","ITF Men"
"ITF Israel F14, Men Singles","ITF Men"
"ITF Israel F14, Men Doubles","ITF Men"
"ITF Men Middelkerke, Belgium Men Singles","ITF Men"
"ITF Men Middelkerke, Belgium Men Doubles","ITF Men"
"ITF Men Rancagua, Chile Men Singles","ITF Men"
"ITF Men Rancagua, Chile Men Doubles","ITF Men"
"ITF Men Ismaning, Germany Men Singles","ITF Men"
"ITF Men Ismaning, Germany Men Doubles","ITF Men"
"ITF Men Valledupar, Colombia Men Singles","ITF Men"
"ITF Men Valledupar, Colombia Men Doubles","ITF Men"
"ITF Men Margarita Island, Venezuela Men Singles","ITF Men"
"ITF Men Margarita Island, Venezuela Men Doubles","ITF Men"
"ITF Men La Libertad, El Salvador Men Singles","ITF Men"
"ITF Men La Libertad, El Salvador Men Doubles","ITF Men"
"ITF Men Limassol, Cyprus Men Singles","ITF Men"
"ITF Men Limassol, Cyprus Men Doubles","ITF Men"
"ITF Men San Pedro Sula, Honduras Men Singles","ITF Men"
"ITF Men San Pedro Sula, Honduras Men Doubles","ITF Men"
"ITF Men Santo Domingo Este, Dominican Republic Men Singles","ITF Men"
"ITF Men Santo Domingo Este, Dominican Republic Men Doubles","ITF Men"
"ITF Men Puerto Montt, Chile Men Singles","ITF Men"
"ITF Men Puerto Montt, Chile Men Doubles","ITF Men"
"ITF Men Baku, Azerbaijan Men Singles","ITF Men"
"ITF Men Baku, Azerbaijan Men Doubles","ITF Men"
"ITF Switzerland F1, Men Doubles","ITF Men"
"ITF Italy F3, Men Singles","ITF Men"
"ITF Italy F3, Men Doubles","ITF Men"
"ITF Morocco F5, Men Singles","ITF Men"
"ITF Morocco F5, Men Doubles","ITF Men"
"ITF France F7, Men Singles","ITF Men"
"ITF France F7, Men Doubles","ITF Men"
"ITF Croatia F4, Men Singles","ITF Men"
"ITF Croatia F4, Men Doubles","ITF Men"
"ITF Sweden F5, Men Singles","ITF Men"
"ITF Sweden F5, Men Doubles","ITF Men"
"ITF Mozambique F1, Men Singles","ITF Men"
"ITF Mozambique F1, Men Doubles","ITF Men"
"ITF USA F12, Men Singles","ITF Men"
"ITF USA F12, Men Doubles","ITF Men"
"ITF Brazil F9, Men Singles","ITF Men"
"ITF Brazil F9, Men Doubles","ITF Men"
"ITF Mexico F22, Men Singles","ITF Men"
"ITF Mexico F22, Men Doubles","ITF Men"
"ITF Portugal F8, Men Singles","ITF Men"
"ITF Portugal F8, Men Doubles","ITF Men"
"ITF Bulgaria F1, Men Singles","ITF Men"
"ITF Bulgaria F1, Men Doubles","ITF Men"
"ITF Italy F14, Men Singles","ITF Men"
"ITF Italy F14, Men Doubles","ITF Men"
"ITF Portugal F9, Men Singles","ITF Men"
"ITF Portugal F9, Men Doubles","ITF Men"
"ITF Men Ruse, Bulgaria Men Singles","ITF Men"
"ITF Men Ruse, Bulgaria Men Doubles","ITF Men"
"ITF Israel F10, Men Singles","ITF Men"
"ITF Israel F10, Men Doubles","ITF Men"
"ITF Japan F7, Men Singles","ITF Men"
"ITF Japan F7, Men Doubles","ITF Men"
"ITF Romania F5, Men Singles","ITF Men"
"ITF Romania F5, Men Doubles","ITF Men"
"ITF Spain F16, Men Singles","ITF Men"
"ITF Spain F16, Men Doubles","ITF Men"
"ITF Poland F3, Men Singles","ITF Men"
"ITF Poland F3, Men Doubles","ITF Men"
"ITF Men Buzau, Romania Men Singles","ITF Men"
"ITF Men Buzau, Romania Men Doubles","ITF Men"
"ITF Poland F4, Men Singles","ITF Men"
"ITF Poland F4, Men Doubles","ITF Men"
"ITF Turkiye F25, Men Singles","ITF Men"
"ITF Turkiye F25, Men Doubles","ITF Men"
"ITF Men Skopje, FYR Macedonia Men Singles","ITF Men"
"ITF Men Skopje, FYR Macedonia Men Doubles","ITF Men"
"ITF Korea F2, Men Singles","ITF Men"
"ITF Korea F2, Men Doubles","ITF Men"
"ITF Germany F4, Men Singles","ITF Men"
"ITF Germany F4, Men Doubles","ITF Men"
"ITF Brazil F5, Men Singles","ITF Men"
"ITF Brazil F5, Men Doubles","ITF Men"
"ITF Italy F20, Men Singles","ITF Men"
"ITF Italy F20, Men Doubles","ITF Men"
"ITF Germany F5, Men Singles","ITF Men"
"ITF Germany F5, Men Doubles","ITF Men"
"ITF Men Piracicaba, Brazil Men Singles","ITF Men"
"ITF Men Piracicaba, Brazil Men Doubles","ITF Men"
"ITF Italy F21, Men Singles","ITF Men"
"ITF Italy F21, Men Doubles","ITF Men"
"ITF Men Thu Dau Mot City, Vietnam Men Singles","ITF Men"
"ITF Men Thu Dau Mot City, Vietnam Men Doubles","ITF Men"
"ITF Morocco F4, Men Singles","ITF Men"
"ITF Morocco F4, Men Doubles","ITF Men"
"ITF Italy F24, Men Singles","ITF Men"
"ITF Italy F24, Men Doubles","ITF Men"
"ITF Morocco F6, Men Singles","ITF Men"
"ITF Morocco F6, Men Doubles","ITF Men"
"ITF Finland F1, Men Singles","ITF Men"
"ITF Finland F1, Men Doubles","ITF Men"
"ITF Switzerland F3, Men Singles","ITF Men"
"ITF Switzerland F3, Men Doubles","ITF Men"
"ITF Indonesia F2, Men Singles","ITF Men"
"ITF Indonesia F2, Men Doubles","ITF Men"
"ITF Men St. Petersburg, Russia Men Singles","ITF Men"
"ITF Men St. Petersburg, Russia Men Doubles","ITF Men"
"ITF Spain F28, Men Singles","ITF Men"
