"competition_name","category_name"
"ITF Romania F3, Men Doubles","ITF Men"
"ITF Spain F17, Men Singles","ITF Men"
"ITF Spain F17, Men Doubles","ITF Men"
"ITF Thailand F2, Men Singles","ITF Men"
"ITF Thailand F2, Men Doubles","ITF Men"
"ITF Tunisia F23, Men Singles","ITF Men"
"ITF Tunisia F23, Men Doubles","ITF Men"
"ITF USA F18, Men Singles","ITF Men"
"ITF USA F18, Men Doubles","ITF Men"
"ITF Zimbabwe F1, Men Singles","ITF Men"
"ITF Zimbabwe F1, Men Doubles","ITF Men"
"ITF Chinese Taipei F2, Men Singles","ITF Men"
"ITF Chinese Taipei F2, Men Doubles","ITF Men"
"ITF Spain F18, Men Singles","ITF Men"
"ITF Spain F18, Men Doubles","ITF Men"
"ITF USA F19, Men Singles","ITF Men"
"ITF USA F19, Men Doubles","ITF Men"
"ITF Argentina F3, Men Singles","ITF Men"
"ITF Argentina F3, Men Doubles","ITF Men"
"ITF Belgium F1, Men Singles","ITF Men"
"ITF Belgium F1, Men Doubles","ITF Men"
"ITF Guam F1, Men Singles","ITF Men"
"ITF Guam F1, Men Doubles","ITF Men"
"ITF Hong Kong F1, Men Singles","ITF Men"
"ITF Hong Kong F1, Men Doubles","ITF Men"
"ITF Israel F11, Men Singles","ITF Men"
"ITF Israel F11, Men Doubles","ITF Men"
"ITF Italy F18, Men Singles","ITF Men"
"ITF Italy F18, Men Doubles","ITF Men"
"ITF Korea F4, Men Singles","ITF Men"
"ITF Korea F4, Men Doubles","ITF Men"
"ITF Netherlands F1, Men Singles","ITF Men"
"ITF Netherlands F1, Men Doubles","ITF Men"
"ITF Romania F4, Men Singles","ITF Men"
"ITF Romania F4, Men Doubles","ITF Men"
"ITF Russia F1, Men Singles","ITF Men"
"ITF Russia F1, Men Doubles","ITF Men"
"ITF Sri Lanka F1, Men Singles","ITF Men"
"ITF Sri Lanka F1, Men Doubles","ITF Men"
"ITF Thailand F3, Men Singles","ITF Men"
"ITF Thailand F3, Men Doubles","ITF Men"
"ITF Tunisia F24, Men Singles","ITF Men"
"ITF Tunisia F24, Men Doubles","ITF Men"
"ITF Turkiye F24, Men Singles","ITF Men"
"ITF Turkiye F24, Men Doubles","ITF Men"
"ITF USA F20, Men Singles","ITF Men"
"ITF USA F20, Men Doubles","ITF Men"
"ITF Zimbabwe F2, Men Singles","ITF Men"
"ITF Zimbabwe F2, Men Doubles","ITF Men"
"ITF Belgium F2, Men Singles","ITF Men"
"ITF Belgium F2, Men Doubles","ITF Men"
"ITF Canada F3, Men Singles","ITF Men"
"ITF Canada F3, Men Doubles","ITF Men"
"ITF France F13, Men Singles","ITF Men"
"ITF France F13, Men Doubles","ITF Men"
"ITF Netherlands F2, Men Singles","ITF Men"
"ITF Netherlands F2, Men Doubles","ITF Men"
"ITF Spain F19, Men Singles","ITF Men"
"ITF Spain F19, Men Doubles","ITF Men"
"ITF USA F21, Men Singles","ITF Men"
"ITF USA F21, Men Doubles","ITF Men"
"ITF Egypt F18, Men Singles","ITF Men"
"ITF Egypt F18, Men Doubles","ITF Men"
"ITF Hong Kong F2, Men Singles","ITF Men"
"ITF Hong Kong F2, Men Doubles","ITF Men"
"ITF Israel F12, Men Singles","ITF Men"
"ITF Israel F12, Men Doubles","ITF Men"
"ITF Italy F19, Men Singles","ITF Men"
"ITF Italy F19, Men Doubles","ITF Men"
"ITF Korea F5, Men Singles","ITF Men"
"ITF Korea F5, Men Doubles","ITF Men"
"ITF Russia F2, Men Singles","ITF Men"
"ITF Russia F2, Men Doubles","ITF Men"
"ITF Sri Lanka F2, Men Singles","ITF Men"
"ITF Sri Lanka F2, Men Doubles","ITF Men"
"ITF USA F22, Men Singles","ITF Men"
"ITF USA F22, Men Doubles","ITF Men"
"ITF Zimbabwe F3, Men Singles","ITF Men"
"ITF Zimbabwe F3, Men Doubles","ITF Men"
"ITF Canada F4, Men Singles","ITF Men"
"ITF Canada F4, Men Doubles","ITF Men"
"ITF China F11, Men Singles","ITF Men"
"ITF China F11, Men Doubles","ITF Men"
"ITF France F14, Men Singles","ITF Men"
"ITF France F14, Men Doubles","ITF Men"
"ITF Spain F20, Men Singles","ITF Men"
"ITF Spain F20, Men Doubles","ITF Men"
"ITF USA F23, Men Singles","ITF Men"
"ITF USA F23, Men Doubles","ITF Men"
"ITF Austria F1, Men Singles","ITF Men"
"ITF Austria F1, Men Doubles","ITF Men"
"ITF Belgium F3, Men Singles","ITF Men"
"ITF Belgium F3, Men Doubles","ITF Men"
"ITF Czech Republic F4, Men Singles","ITF Men"
"ITF Czech Republic F4, Men Doubles","ITF Men"
"ITF Egypt F19, Men Singles","ITF Men"
"ITF Egypt F19, Men Doubles","ITF Men"
"ITF Georgia F1, Men Singles","ITF Men"
"ITF Georgia F1, Men Doubles","ITF Men"
"ITF Germany F6, Men Singles","ITF Men"
"ITF Germany F6, Men Doubles","ITF Men"
"ITF Hong Kong F3, Men Singles","ITF Men"
"ITF Hong Kong F3, Men Doubles","ITF Men"
"ITF Netherlands F3, Men Singles","ITF Men"
"ITF Netherlands F3, Men Doubles","ITF Men"
"ITF Russia F3, Men Singles","ITF Men"
"ITF Russia F3, Men Doubles","ITF Men"
"ITF Sri Lanka F3, Men Singles","ITF Men"
"ITF Sri Lanka F3, Men Doubles","ITF Men"
"ITF China F12, Men Singles","ITF Men"
"ITF China F12, Men Doubles","ITF Men"
"ITF Czech Republic F5, Men Singles","ITF Men"
"ITF Czech Republic F5, Men Doubles","ITF Men"
"ITF France F15, Men Singles","ITF Men"
"ITF France F15, Men Doubles","ITF Men"
"ITF Spain F21, Men Singles","ITF Men"
"ITF Spain F21, Men Doubles","ITF Men"
"ITF Austria F2, Men Singles","ITF Men"
"ITF Austria F2, Men Doubles","ITF Men"
"ITF Egypt F20, Men Singles","ITF Men"
"ITF Egypt F20, Men Doubles","ITF Men"
"ITF Georgia F2, Men Singles","ITF Men"
"ITF Georgia F2, Men Doubles","ITF Men"
"ITF Germany F7, Men Singles","ITF Men"
"ITF Germany F7, Men Doubles","ITF Men"
"ITF Netherlands F4, Men Singles","ITF Men"
"ITF Netherlands F4, Men Doubles","ITF Men"
"ITF Turkiye F34, Men Singles","ITF Men"
"ITF Turkiye F34, Men Doubles","ITF Men"
"ITF Canada F7, Men Singles","ITF Men"
"ITF Canada F7, Men Doubles","ITF Men"
"ITF France F19, Men Singles","ITF Men"
"ITF France F19, Men Doubles","ITF Men"
"ITF Italy F29, Men Singles","ITF Men"
"ITF Italy F29, Men Doubles","ITF Men"
"ITF Spain F29, Men Singles","ITF Men"
"ITF Spain F29, Men Doubles","ITF Men"
"ITF Argentina F7, Men Singles","ITF Men"
"ITF Argentina F7, Men Doubles","ITF Men"
"ITF Egypt F25, Men Singles","ITF Men"
"ITF Egypt F25, Men Doubles","ITF Men"
"ITF Great Britain F4, Men Singles","ITF Men"
"ITF Great Britain F4, Men Doubles","ITF Men"
"ITF India F8, Men Singles","ITF Men"
"ITF India F8, Men Doubles","ITF Men"
"ITF Tunisia F26, Men Singles","ITF Men"
"ITF Tunisia F26, Men Doubles","ITF Men"
"ITF Turkiye F35, Men Singles","ITF Men"
"ITF Turkiye F35, Men Doubles","ITF Men"
"ITF Australia F4, Men Singles","ITF Men"
"ITF Australia F4, Men Doubles","ITF Men"
"ITF Canada F8, Men Singles","ITF Men"
"ITF Canada F8, Men Doubles","ITF Men"
"ITF France F20, Men Singles","ITF Men"
"ITF France F20, Men Doubles","ITF Men"
"ITF Italy F30, Men Singles","ITF Men"
"ITF Italy F30, Men Doubles","ITF Men"
"ITF Kazakhstan F6, Men Singles","ITF Men"
"ITF Kazakhstan F6, Men Doubles","ITF Men"
"ITF Spain F30, Men Singles","ITF Men"
"ITF Spain F30, Men Doubles","ITF Men"
"ITF Bolivia F1, Men Singles","ITF Men"
"ITF Bolivia F1, Men Doubles","ITF Men"
"ITF Egypt F26, Men Singles","ITF Men"
"ITF Egypt F26, Men Doubles","ITF Men"
"ITF Great Britain F5, Men Singles","ITF Men"
"ITF Great Britain F5, Men Doubles","ITF Men"
"ITF India F9, Men Singles","ITF Men"
"ITF India F9, Men Doubles","ITF Men"
"ITF Portugal F19, Men Singles","ITF Men"
"ITF Portugal F19, Men Doubles","ITF Men"
"ITF Tunisia F27, Men Singles","ITF Men"
"ITF Tunisia F27, Men Doubles","ITF Men"
"ITF USA F31, Men Singles","ITF Men"
"ITF USA F31, Men Doubles","ITF Men"
"ITF USA F32, Men Singles","ITF Men"
"ITF USA F32, Men Doubles","ITF Men"
"ITF Turkiye F36, Men Singles","ITF Men"
"ITF Turkiye F36, Men Doubles","ITF Men"
"ITF Australia F5, Men Singles","ITF Men"
"ITF Australia F5, Men Doubles","ITF Men"
"ITF Italy F31, Men Doubles","ITF Men"
"ITF Italy F31, Men Singles","ITF Men"
"ITF Kazakhstan F7, Men Singles","ITF Men"
"ITF Kazakhstan F7, Men Doubles","ITF Men"
"ITF Portugal F20, Men Singles","ITF Men"
"ITF Portugal F20, Men Doubles","ITF Men"
"ITF Spain F31, Men Singles","ITF Men"
"ITF Spain F31, Men Doubles","ITF Men"
"ITF Sweden F3, Men Singles","ITF Men"
"ITF Sweden F3, Men Doubles","ITF Men"
"ITF Bolivia F2, Men Singles","ITF Men"
"ITF Bolivia F2, Men Doubles","ITF Men"
"ITF Egypt F27, Men Singles","ITF Men"
"ITF Egypt F27, Men Doubles","ITF Men"
"ITF France F21, Men Singles","ITF Men"
"ITF France F21, Men Doubles","ITF Men"
"ITF Tunisia F28, Men Singles","ITF Men"
"ITF Tunisia F28, Men Doubles","ITF Men"
"ITF Turkiye F37, Men Singles","ITF Men"
"ITF Turkiye F37, Men Doubles","ITF Men"
"ITF Australia F6, Men Singles","ITF Men"
"ITF Australia F6, Men Doubles","ITF Men"
"ITF France F22, Men Singles","ITF Men"
"ITF France F22, Men Doubles","ITF Men"
"ITF Italy F32, Men Singles","ITF Men"
"ITF Italy F32, Men Doubles","ITF Men"
"ITF Sweden F4, Men Singles","ITF Men"
"ITF Sweden F4, Men Doubles","ITF Men"
"ITF Bolivia F3, Men Singles","ITF Men"
"ITF Bolivia F3, Men Doubles","ITF Men"
"ITF Egypt F28, Men Singles","ITF Men"
"ITF Egypt F28, Men Doubles","ITF Men"
"ITF Portugal F21, Men Singles","ITF Men"
"ITF Portugal F21, Men Doubles","ITF Men"
"ITF Spain F32, Men Singles","ITF Men"
"ITF Spain F32, Men Doubles","ITF Men"
"ITF Thailand F7, Men Singles","ITF Men"
"ITF Thailand F7, Men Doubles","ITF Men"
"ITF Tunisia F29, Men Singles","ITF Men"
"ITF Tunisia F29, Men Doubles","ITF Men"
"ITF Turkey F38, Men Singles","ITF Men"
"ITF Turkey F38, Men Doubles","ITF Men"
"ITF Spain F33, Men Singles","ITF Men"
"ITF Spain F33, Men Doubles","ITF Men"
"ITF Australia F7, Men Singles","ITF Men"
"ITF Australia F7, Men Doubles","ITF Men"
"ITF France F23, Men Singles","ITF Men"
"ITF France F23, Men Doubles","ITF Men"
"ITF Italy F33, Men Singles","ITF Men"
"ITF Italy F33, Men Doubles","ITF Men"
"ITF Nigeria F4, Men Singles","ITF Men"
"ITF Nigeria F4, Men Doubles","ITF Men"
"ITF USA F33, Men Singles","ITF Men"
"ITF USA F33, Men Doubles","ITF Men"
"ITF Egypt F29, Men Singles","ITF Men"
"ITF Egypt F29, Men Doubles","ITF Men"
"ITF Germany F14, Men Singles","ITF Men"
"ITF Germany F14, Men Doubles","ITF Men"
"ITF Thailand F8, Men Singles","ITF Men"
"ITF Thailand F8, Men Doubles","ITF Men"
"ITF Tunisia F30, Men Singles","ITF Men"
"ITF Tunisia F30, Men Doubles","ITF Men"
"ITF Turkiye F39, Men Singles","ITF Men"
"ITF Turkiye F39, Men Doubles","ITF Men"
"ITF Thailand F9, Men Singles","ITF Men"
"ITF Thailand F9, Men Doubles","ITF Men"
"ITF France F24, Men Singles","ITF Men"
"ITF France F24, Men Doubles","ITF Men"
"ITF Italy F34, Men Singles","ITF Men"
"ITF Italy F34, Men Doubles","ITF Men"
"ITF Nigeria F5, Men Singles","ITF Men"
"ITF Nigeria F5, Men Doubles","ITF Men"
"ITF Egypt F30, Men Singles","ITF Men"
"ITF Egypt F30, Men Doubles","ITF Men"
"ITF Germany F15, Men Singles","ITF Men"
"ITF Germany F15, Men Doubles","ITF Men"
"ITF Israel F13, Men Singles","ITF Men"
"ITF Israel F13, Men Doubles","ITF Men"
"ITF Malaysia F1, Men Singles","ITF Men"
"ITF Malaysia F1, Men Doubles","ITF Men"
"ITF Tunisia F31, Men Singles","ITF Men"
"ITF Tunisia F31, Men Doubles","ITF Men"
"ITF Germany F16, Men Singles","ITF Men"
"ITF Germany F16, Men Doubles","ITF Men"
"ITF Turkey F40, Men Singles","ITF Men"
"ITF Turkey F40, Men Doubles","ITF Men"
"ITF Malaysia F2, Men Singles","ITF Men"
"ITF Malaysia F2, Men Doubles","ITF Men"
"ITF Italy F35, Men Singles","ITF Men"
"ITF Italy F35, Men Doubles","ITF Men"
"ITF Czech Republic F7, Men Singles","ITF Men"
"ITF Czech Republic F7, Men Doubles","ITF Men"
"ITF Egypt F31, Men Singles","ITF Men"
"ITF Egypt F31, Men Doubles","ITF Men"
"ITF Estonia F2, Men Singles","ITF Men"
"ITF Estonia F2, Men Doubles","ITF Men"
"ITF Greece F6, Men Singles","ITF Men"
"ITF Greece F6, Men Doubles","ITF Men"
"ITF Tunisia F32, Men Singles","ITF Men"
"ITF Tunisia F32, Men Doubles","ITF Men"
"ITF Israel F15, Men Singles","ITF Men"
"ITF Israel F15, Men Doubles","ITF Men"
"ITF Malaysia F3, Men Singles","ITF Men"
"ITF Turkey F41, Men Singles","ITF Men"
"ITF Malaysia F3, Men Doubles","ITF Men"
"ITF Turkey F41, Men Doubles","ITF Men"
"ITF Italy F36 Men Singles","ITF Men"
"ITF Italy F36 Men Doubles","ITF Men"
"ITF Czech Republic F8, Men Singles","ITF Men"
"ITF Czech Republic F8, Men Doubles","ITF Men"
"ITF Egypt F32, Men Singles","ITF Men"
"ITF Egypt F32, Men Doubles","ITF Men"
"ITF Estonia F3, Men Singles","ITF Men"
"ITF Estonia F3, Men Doubles","ITF Men"
"ITF Greece F7, Men Singles","ITF Men"
"ITF Greece F7, Men Doubles","ITF Men"
"ITF Kuwait F1, Men Singles","ITF Men"
"ITF Kuwait F1, Men Doubles","ITF Men"
"ITF Tunisia F33, Men Singles","ITF Men"
"ITF Tunisia F33, Men Doubles","ITF Men"
"ITF USA F35, Men Singles","ITF Men"
"ITF USA F35, Men Doubles","ITF Men"
"ITF Turkey F42, Men Singles","ITF Men"
"ITF Turkey F42, Men Doubles","ITF Men"
"ITF Argentina F8, Men Singles","ITF Men"
"ITF Argentina F8, Men Doubles","ITF Men"
"ITF Czech Republic F9, Men Singles","ITF Men"
"ITF Czech Republic F9, Men Doubles","ITF Men"
"ITF Egypt F33, Men Singles","ITF Men"
"ITF Egypt F33, Men Doubles","ITF Men"
"ITF Estonia F4, Men Singles","ITF Men"
"ITF Estonia F4, Men Doubles","ITF Men"
"ITF Greece F8, Men Singles","ITF Men"
"ITF Greece F8, Men Doubles","ITF Men"
"ITF Kuwait F2, Men Singles","ITF Men"
"ITF Kuwait F2, Men Doubles","ITF Men"
"ITF Tunisia F34, Men Singles","ITF Men"
"ITF Tunisia F34, Men Doubles","ITF Men"
"ITF USA F36, Men Singles","ITF Men"
"ITF USA F36, Men Doubles","ITF Men"
"ITF Vietnam F1, Men Singles","ITF Men"
"ITF Vietnam F1, Men Doubles","ITF Men"
"ITF Brazil F2, Men Singles","ITF Men"
"ITF Brazil F2, Men Doubles","ITF Men"
"ITF Mexico F5, Men Singles","ITF Men"
"ITF Mexico F5, Men Doubles","ITF Men"
"ITF Turkey F43, Men Singles","ITF Men"
"ITF Turkey F43, Men Doubles","ITF Men"
"ITF Finland F4, Men Singles","ITF Men"
"ITF Finland F4, Men Doubles","ITF Men"
"ITF Argentina F9, Men Singles","ITF Men"
"ITF Argentina F9, Men Doubles","ITF Men"
"ITF Egypt F34, Men Singles","ITF Men"
"ITF Egypt F34, Men Doubles","ITF Men"
"ITF Greece F9, Men Singles","ITF Men"
"ITF Greece F9, Men Doubles","ITF Men"
"ITF Kuwait F3, Men Singles","ITF Men"
"ITF Kuwait F3, Men Doubles","ITF Men"
"ITF Tunisia F35, Men Singles","ITF Men"
"ITF Tunisia F35, Men Doubles","ITF Men"
"ITF USA F37, Men Singles","ITF Men"
"ITF USA F37, Men Doubles","ITF Men"
"ITF Vietnam F2, Men Singles","ITF Men"
"ITF Vietnam F2, Men Doubles","ITF Men"
"ITF Chile F1, Men Singles","ITF Men"
"ITF Chile F1, Men Doubles","ITF Men"
"ITF Turkey F44, Men Singles","ITF Men"
"ITF Czech Republic F11, Men Singles","ITF Men"
"ITF Czech Republic F11, Men Doubles","ITF Men"
"ITF Turkey F44, Men Doubles","ITF Men"
"ITF USA F38, Men Singles","ITF Men"
"ITF USA F38, Men Doubles","ITF Men"
"ITF Indonesia F7, Men Singles","ITF Men"
"ITF Indonesia F7, Men Doubles","ITF Men"
"ITF Argentina F10, Men Singles","ITF Men"
"ITF Argentina F10, Men Doubles","ITF Men"
"ITF Brazil F3, Men Singles","ITF Men"
"ITF Brazil F3, Men Doubles","ITF Men"
"ITF Egypt F35, Men Singles","ITF Men"
"ITF Egypt F35, Men Doubles","ITF Men"
"ITF Greece F10, Men Singles","ITF Men"
"ITF Greece F10, Men Doubles","ITF Men"
"ITF Mexico F6, Men Singles","ITF Men"
"ITF Mexico F6, Men Doubles","ITF Men"
"ITF South Africa F1, Men Singles","ITF Men"
"ITF South Africa F1, Men Doubles","ITF Men"
"ITF Vietnam F3, Men Singles","ITF Men"
"ITF Vietnam F3, Men Doubles","ITF Men"
"ITF Tunisia F36, Men Singles","ITF Men"
"ITF Tunisia F36, Men Doubles","ITF Men"
"ITF Brazil F4, Men Singles","ITF Men"
"ITF Thailand F10, Men Singles","ITF Men"
"ITF Brazil F4, Men Doubles","ITF Men"
"ITF Mexico F7, Men Singles","ITF Men"
"ITF Mexico F7, Men Doubles","ITF Men"
"ITF Tunisia F37, Men Singles","ITF Men"
"ITF Tunisia F37, Men Doubles","ITF Men"
"ITF Thailand F10, Men Doubles","ITF Men"
"ITF Turkey F45, Men Singles","ITF Men"
"ITF Turkey F45, Men Doubles","ITF Men"
"ITF Indonesia F8, Men Singles","ITF Men"
"ITF Indonesia F8, Men Doubles","ITF Men"
"ITF USA F39, Men Singles","ITF Men"
"ITF USA F39, Men Doubles","ITF Men"
"ITF Argentina F11, Men Singles","ITF Men"
"ITF Argentina F11, Men Doubles","ITF Men"
"ITF Chile F2, Men Singles","ITF Men"
"ITF Chile F2, Men Doubles","ITF Men"
"ITF Dominican Republic F1, Men Singles","ITF Men"
"ITF Dominican Republic F1, Men Doubles","ITF Men"
"ITF Egypt F36, Men Singles","ITF Men"
"ITF Egypt F36, Men Doubles","ITF Men"
"ITF Israel F16, Men Singles","ITF Men"
"ITF Israel F16, Men Doubles","ITF Men"
"ITF South Africa F2, Men Singles","ITF Men"
"ITF South Africa F2, Men Doubles","ITF Men"
"ITF Chile F3, Men Singles","ITF Men"
"ITF Chile F3, Men Doubles","ITF Men"
"ITF Israel F17, Men Singles","ITF Men"
"ITF Israel F17, Men Doubles","ITF Men"
"ITF Tunisia F38, Men Singles","ITF Men"
"ITF Tunisia F38, Men Doubles","ITF Men"
"ITF Thailand F11, Men Singles","ITF Men"
"ITF Thailand F11, Men Doubles","ITF Men"
"ITF Turkey F46, Men Singles","ITF Men"
"ITF Turkey F46, Men Doubles","ITF Men"
"ITF Pakistan F1, Men Singles","ITF Men"
"ITF Pakistan F1, Men Doubles","ITF Men"
"ITF USA F40, Men Singles","ITF Men"
"ITF USA F40, Men Doubles","ITF Men"
"ITF Argentina F12, Men Singles","ITF Men"
"ITF Argentina F12, Men Doubles","ITF Men"
"ITF Egypt F37, Men Singles","ITF Men"
"ITF Egypt F37, Men Doubles","ITF Men"
"ITF Mexico F8, Men Singles","ITF Men"
"ITF Mexico F8, Men Doubles","ITF Men"
"ITF Qatar F4, Men Singles","ITF Men"
"ITF Qatar F4, Men Doubles","ITF Men"
"ITF South Africa F3, Men Singles","ITF Men"
"ITF South Africa F3, Men Doubles","ITF Men"
"ITF Pakistan F2, Men Singles","ITF Men"
"ITF Pakistan F2, Men Doubles","ITF Men"
"ITF Israel F18, Men Singles","ITF Men"
"ITF Israel F18, Men Doubles","ITF Men"
"ITF Tunisia F39, Men Singles","ITF Men"
"ITF Tunisia F39, Men Doubles","ITF Men"
"ITF Thailand F12, Men Singles","ITF Men"
"ITF Thailand F12, Men Doubles","ITF Men"
"ITF Turkey F47, Men Singles","ITF Men"
"ITF Turkey F47, Men Doubles","ITF Men"
"ITF Egypt F38, Men Singles","ITF Men"
"ITF Egypt F38, Men Doubles","ITF Men"
"ITF Peru F1, Men Singles","ITF Men"
"ITF Peru F1, Men Doubles","ITF Men"
"ITF Qatar F5, Men Singles","ITF Men"
"ITF Qatar F5, Men Doubles","ITF Men"
"ITF Pakistan F3, Men Singles","ITF Men"
"ITF Pakistan F3, Men Doubles","ITF Men"
"ITF Tunisia F40, Men Singles","ITF Men"
"ITF Tunisia F40, Men Doubles","ITF Men"
"ITF Turkey F48, Men Singles","ITF Men"
"ITF Turkey F48, Men Doubles","ITF Men"
"ITF Hong Kong F4, Men Singles","ITF Men"
"ITF Hong Kong F4, Men Doubles","ITF Men"
"ITF Peru F2, Men Singles","ITF Men"
"ITF Peru F2, Men Doubles","ITF Men"
"ITF Qatar F6, Men Singles","ITF Men"
"ITF Qatar F6, Men Doubles","ITF Men"
"ITF Hong Kong F5, Men Singles","ITF Men"
"ITF Hong Kong F5, Men Doubles","ITF Men"
"ITF Germany F13, Men Singles","ITF Men"
"ITF Germany F13, Men Doubles","ITF Men"
"ITF Norway F1, Men Singles","ITF Men"
"ITF Norway F1, Men Doubles","ITF Men"
"ITF France F12, Men Singles","ITF Men"
"ITF France F12, Men Doubles","ITF Men"
"ITF Kazakhstan F8, Men Singles","ITF Men"
"ITF Kazakhstan F8, Men Doubles","ITF Men"
"ITF Italy F1, Men Singles","ITF Men"
"ITF Italy F1, Men Doubles","ITF Men"
"ITF Cameroon F2, Men Singles","ITF Men"
"ITF Cameroon F2, Men Doubles","ITF Men"
"ITF Korea F6, Men Singles","ITF Men"
"ITF Korea F6, Men Doubles","ITF Men"
"ITF Mexico F16, Men Singles","ITF Men"
"ITF Mexico F16, Men Doubles","ITF Men"
"ITF Tunisia F43, Men Singles","ITF Men"
"ITF Tunisia F43, Men Doubles","ITF Men"
"ITF Russia F8, Men Singles","ITF Men"
"ITF Russia F8, Men Doubles","ITF Men"
"ITF Mozambique F2, Men Singles","ITF Men"
"ITF Mozambique F2, Men Doubles","ITF Men"
"ITF Brazil F1, Men Singles","ITF Men"
"ITF Brazil F1, Men Doubles","ITF Men"
"ITF Egypt F17, Men Singles","ITF Men"
"ITF Egypt F17, Men Doubles","ITF Men"
"ITF Tunisia F41, Men Singles","ITF Men"
"ITF Tunisia F41, Men Doubles","ITF Men"
"ITF Men Sajur. Israel Men Doubles","ITF Men"
"ITF Mexico F14, Men Singles","ITF Men"
"ITF Mexico F14, Men Doubles","ITF Men"
"ITF Uganda F2, Men Singles","ITF Men"
"ITF Uganda F2, Men Doubles","ITF Men"
"ITF Australia F8, Men Singles","ITF Men"
"ITF Australia F8, Men Doubles","ITF Men"
"ITF Egypt F16, Men Singles","ITF Men"
"ITF Egypt F16, Men Doubles","ITF Men"
"ITF Uganda F1, Men Singles","ITF Men"
"ITF Uganda F1, Men Doubles","ITF Men"
"ITF Mexico F11, Men Singles","ITF Men"
"ITF Mexico F11, Men Doubles","ITF Men"
"ITF Brazil F6, Men Singles","ITF Men"
"ITF Brazil F6, Men Doubles","ITF Men"
"ITF Tunisia F44, Men Singles","ITF Men"
"ITF Tunisia F44, Men Doubles","ITF Men"
"ITF Mexico F10, Men Singles","ITF Men"
"ITF Mexico F10, Men Doubles","ITF Men"
"ITF Uganda F3, Men Singles","ITF Men"
"ITF Uganda F3, Men Doubles","ITF Men"
"ITF Uganda F4, Men Singles","ITF Men"
"ITF Uganda F4, Men Doubles","ITF Men"
"ITF France F11, Men Singles","ITF Men"
"ITF France F11, Men Doubles","ITF Men"
"ITF Lebanon F1, Men Singles","ITF Men"
"ITF Lebanon F1, Men Doubles","ITF Men"
"ITF Romania F13, Men Singles","ITF Men"
"ITF Romania F13, Men Doubles","ITF Men"
"ITF Panama F4, Men Singles","ITF Men"
"ITF Panama F4, Men Doubles","ITF Men"
"ITF Peru F3, Men Singles","ITF Men"
"ITF Peru F3, Men Doubles","ITF Men"
"ITF Brazil F8, Men Singles","ITF Men"
"ITF Brazil F8, Men Doubles","ITF Men"
"ITF Bulgaria F3, Men Singles","ITF Men"
"ITF Bulgaria F3, Men Doubles","ITF Men"
"ITF Georgia F4, Men Singles","ITF Men"
"ITF Georgia F4, Men Doubles","ITF Men"
"ITF Tunisia F42, Men Singles","ITF Men"
"ITF Tunisia F42, Men Doubles","ITF Men"
"ITF Tunisia F45, Men Singles","ITF Men"
"ITF Tunisia F45, Men Doubles","ITF Men"
"ITF Men Kunshan, China Men Doubles","ITF Men"
"ITF USA F28, Men Singles","ITF Men"
"ITF USA F28B, Men Doubles","ITF Men"
"ITF Lebanon F2, Men Singles","ITF Men"
"ITF Lebanon F2, Men Doubles","ITF Men"
"ITF USA F19B, Men Singles","ITF Men"
"ITF USA F19B, Men Doubles","ITF Men"
"ITF Ecuador F1, Men Singles","ITF Men"
"ITF Ecuador F1, Men Doubles","ITF Men"
"ITF Ecuador F2, Men Singles","ITF Men"
"ITF Ecuador F2, Men Doubles","ITF Men"
"ITF USA F29, Men Singles","ITF Men"
"ITF USA F29, Men Doubles","ITF Men"
"ITF Spain F24, Men Singles","ITF Men"
"ITF Spain F24, Men Doubles","ITF Men"
"ITF Uzbekistan F5, Men Singles","ITF Men"
"ITF Mexico F26, Men Singles","ITF Men"
"ITF Mexico F26, Men Doubles","ITF Men"
"ITF Cameroon F1, Men Singles","ITF Men"
"ITF Cameroon F1, Men Doubles","ITF Men"
"ITF Uzbekistan F6, Men Singles","ITF Men"
"ITF Uzbekistan F6, Men Doubles","ITF Men"
"ITF Mexico F9, Men Singles","ITF Men"
"ITF Mexico F9, Men Doubles","ITF Men"
"ITF Portugal F22, Men Singles","ITF Men"
"ITF Portugal F22, Men Doubles","ITF Men"
"ITF Vietnam F5, Men Singles","ITF Men"
"ITF Vietnam F5, Men Doubles","ITF Men"
"ITF Brazil F7, Men Singles","ITF Men"
"ITF Brazil F7, Men Doubles","ITF Men"
"ITF USA F41, Men Singles","ITF Men"
"ITF USA F41, Men Doubles","ITF Men"
"ITF Mexico F12, Men Singles","ITF Men"
"ITF Mexico F12, Men Doubles","ITF Men"
"ITF Dominican Republic F3, Men Singles","ITF Men"
"ITF Dominican Republic F3, Men Doubles","ITF Men"
"ITF Bosnia & Herzegovina F4, Men Singles","ITF Men"
"ITF Bosnia & Herzegovina F4, Men Doubles","ITF Men"
"ITF Ghana F1, Men Singles","ITF Men"
"ITF Ghana F1, Men Doubles","ITF Men"
"ITF USA F14B, Men Singles","ITF Men"
"ITF USA F14B, Men Doubles","ITF Men"
"ITF Romania F6, Men Singles","ITF Men"
"ITF Romania F6, Men Doubles","ITF Men"
"ITF Mexico F25, Men Singles","ITF Men"
"ITF Mexico F25, Men Doubles","ITF Men"
"ITF Mexico F13, Men Singles","ITF Men"
"ITF Mexico F13, Men Doubles","ITF Men"
"ITF Mexico F15, Men Singles","ITF Men"
"ITF Mexico F15, Men Doubles","ITF Men"
