"complex_name","venue_count"
"North-West University Tennis Complex","3"
"Real Club de Tenis Barcelona","11"
"Tennis Club de Contrexeville","5"
"Salle Steredenn","6"
"Amersfoort Lawn Tennis Club","7"
"Sibur Arena","4"
"Cleveland Racquet Club","4"
"Megasaray Tennis Academy","21"
"Circolo Antico Tiro a Volo","2"
"Tenis Centar Makarska Lukas Sport","3"
"Ehime Prefectural Sports Complex","9"
"Delray Beach Tennis Center","7"
"Dubai Duty Free Tennis Stadium","6"
"Gezira Sporting Club","10"
"Shenzhen Luohu Tennis Centre","6"
"Ostravar Arena","6"
"Park Mladen Stojanovic","4"
"Good To Great Tennis Academy","4"
"Tali Tennis Center","7"
"Devonshire Park Lawn Tennis Centre","12"
"Istiklol Tennis Club","8"
"Francesco Guzzini Recanati Tennis Club","4"
"Headington Family Tennis Center","11"
"Club Internacional de Foot-ball","17"
"Country Club Las Palmas","9"
"Churchie Grammar","6"
"Tennis Club Porto Rose","3"
"Palmira Tennis Club","6"
"Bluesun Tennis Center","8"
"Jurerê Sports Center","8"
"Tenis Club Argentino","5"
"Tennis Club Gaiba - Gaibledon","5"
"Circolo Tennis Bari","6"
"University of Alabama Tennis Stadium","5"
"The Drive","5"
"The Queen’s Club","4"
"Teniski Klub Split","6"
"Tennis Club de Troyes","9"
"Club Internacional de Tenis","3"
"Ilkley Lawn Tennis and Squash Club","14"
"TOP SEED TENNIS CLUB","3"
"Liberec Tennis Club","8"
"Alex Metreveli Tennis Club","5"
"Shenzhen Longgang Sports Center","2"
"Sobeys Stadium","15"
"TC Rot Weiss Hagen","4"
"George P Mitchell 40 Tennis Center","6"
"Sid And Hazel Dillon Tennis Center","8"
"National Tennis Center","63"
"Sport Social Club","17"
"MTTC Iphitos e.V.","9"
"Barnes Tennis Center","7"
"Tcja Saint-Malo","3"
"Villa Primrose","12"
"Club Campestre Sede Llanogrande","4"
"Hengqin International Tennis Center Zhuhai","14"
"Pearson Automotive Tennis Club","5"
"Edgbaston Priory Club","10"
"Spot - Salle Jean Burger","2"
"Club La Meridiana","3"
"Skanes Family Hotel Monastir","10"
"TTF Istanbul Tenis Merkezi","19"
"Lagardere Paris Racing Club","4"
"ŠRC MARINA PORTOROŽ","6"
"Inacua Malaga","4"
"Sociedade Hipica de Campinas","11"
"Wien, Wiener Stadthalle","2"
"Fiera de Levante","2"
"Centro Panamericano de Tenis","12"
"Tampereen Tenniskeskus Oy","6"
"Khalifa International Tennis & Squash Complex","12"
"PalaNorda","4"
"Palais des Sports de Pau","5"
"Rotterdam Ahoy","3"
"Autoclub Antofagasta","6"
"Madrid Arena","14"
"Atlantic Station","4"
"Club de Tenis Puente Romano","9"
"Tennis Club Roseto","4"
"Kallang Tennis Centre","2"
"All England Lawn Tennis and Croquet Club","19"
"Palais des sports de Gerland","7"
"Eve Zimmermann Tennis Center","11"
"Burrows-Burleson Tennis Center","6"
"Palais Des Sport","7"
"Tennis Club Ortisei","5"
"Stan Sheriff Center","10"
"OMEGA Sports and Health Centre","6"
"Guangzhou Development District International Tennis School","4"
"Guangzhou Nansha International Tennis Center","10"
"Michael and Anne Greenwood Tennis Center","4"
"Glenmore Athletic Park","2"
"OWL Arena","9"
"Centro Libanes Mexicano de Tampico","3"
"Le Liberte","3"
"TED Tenis Eskrim Dagcilik Spor Kulubu","4"
"Legia Tenis & Golf","9"
"ATP Stadium Goran Ivanisevic","3"
"Tennis Club Lillois Lille Metropole","5"
"Guayaquil Tennis Club","6"
"Royal SC Tennis","6"
"Osten & Victor Alberta Tennis Centre","9"
"Jan Group Arena","6"
"Tennisclub Zug","6"
"Circolo Della Stampa Sporting","10"
"Country Club de Bogota","4"
"Club Nautico Hacoaj","5"
"Complexo de Tenis do Jamor","5"
"TC Empire Trnava","5"
"Utilita Arena Birmingham","6"
"NTC Arena","8"
"Hacienda Chicureo","5"
"Tennis Club Perugia","4"
"National Sport Center Nanchang","11"
"River Oaks Country Club","11"
"TK As Timok","6"
"Bezirksstützpunkt Biberach","4"
"Estadio Mario Alberto Kempes","6"
"Sichuan International Tennis Center","9"
"ATP Stadion Goran Ivanisevic","8"
"Abama Tennis Academy","7"
"SC Ostrava","3"
"Melbourne Park","25"
"Almaty Tennis Center","7"
"Beograndska Arena","2"
"Club Tennis Lleida","3"
"Bloomington","4"
"Associazione Tennis Verona","6"
"Tenis Club Crvena Zvezda","4"
"Sarasota Sports Club","3"
"Tennis Club Napoli","9"
"Tenis Club Parma","4"
"Lotto Arena","4"
"Arena Co'Met","4"
"Jockey Club del Peru","15"
"Costa Verde Tenis Clube","2"
"Tennis Club Cagliari","3"
"Tennis Club Dinamo","5"
"Tiburon Peninsula Club","9"
"Kindarena","4"
"Hollyburn Country Club","4"
"Family Circle Tennis Center","6"
"BNR arena","9"
"Ariake Colosseum","4"
"Robson Tennis Center","3"
"Las Hadas Golf & Country Club","4"
"Palais des Sports","3"
"Monte-Carlo Country Club","9"
"Center Plains Tennis Center","9"
"Ohio State University","5"
"Tel Aviv International Convention Center","2"
"Salle Collete-Benson","6"
"Bonn Tennis and Hockey Club","4"
"Fukui Sports Park","3"
"Tennis Club Garden","9"
"Tianjin Tuanbo International Tennis Center","10"
"Tucumán Lawn Tennis Club","5"
"True Arena Hua Hin","6"
"Tennis Courts of the SW University Neofit Rilski","3"
"Atkins Tennis Center","10"
"Emilio Sanchez Academy","3"
"Racket Club, Argentina","2"
"Union Sportive des Cheminots du Maroc","4"
"Complexo Desportivo do Jamor","13"
"National Tennis Center (Beeline Arena)","5"
"Ty Tucker Tennis Center","4"
"Omega Sport Center","6"
"Tennis Club Saint-Brieuc","6"
"National Tennis Centre","5"
"Olympic Tennis Courts","4"
"Country Time Club","10"
"Rama Gardens Hotel","6"
"Zayed Sports City International Tennis Centre","7"
"Tennis Club 1.FCN","7"
"Club de Campo Villa de Madrid","7"
"TC Blau-Gelb Bonn-Beuel","5"
"CLUBE CRISTOVAO COLOMBO","14"
"Autotron Rosmalen","7"
"Clube de Tenis do Porto","9"
"Bastad Tennis Stadium","6"
"Corredor Turistico SJC-CSL","8"
"Kungliga Tennishallen","5"
"Tashkent Tennis Centreake","2"
"Eemslag Tennis and Padel Bunschoten","6"
"Salzburg Tennis Club","4"
"Launceston Regional Tennis Centre","6"
"Olympic Park Tennis Center","12"
"Taipei Tennis Center","11"
"Ciudad Deportiva de Tampico","3"
"Victoria Park Tennis Court","16"
"Winnipeg Lawn Tennis Club","9"
"Centro Deportivo Chapultepec","8"
"Qi Zhong Tennis Center","21"
"Luzhniki Olympic Complex","2"
"TC Rüppurr","9"
"Centro Tennis Cassa di Risparmio","5"
"Wake Forest University Tennis Complex","6"
"Forte Village Resort","3"
"Porsche Arena","6"
"TG Nord Dusseldorf e.V.","5"
"Hotel Racquet Cuernavaca","3"
"The Tennis Club at Newport Beach","5"
"David X Marks Tennis Stadium","6"
"Cabo Sports Complex","4"
"Palasport","4"
"Arena BRB","3"
