"venue_name","complex_name"
"Court 13","MTTC Iphitos e.V."
"SZ Court","MTTC Iphitos e.V."
"Court 3","MTTC Iphitos e.V."
"Court 1","MTTC Iphitos e.V."
"Court 2","MTTC Iphitos e.V."
"Centre","Real Club de Tenis Barcelona"
"Pista 3","Real Club de Tenis Barcelona"
"Pista 4","Real Club de Tenis Barcelona"
"Pista Rafa Nadal","Real Club de Tenis Barcelona"
"Pista 2","Real Club de Tenis Barcelona"
"Pista 5","Real Club de Tenis Barcelona"
"Pista Manolo Santana","Real Club de Tenis Barcelona"
"Pista Central","Real Club de Tenis Barcelona"
"Pista 1","Real Club de Tenis Barcelona"
"Pista Jan Kodes","Real Club de Tenis Barcelona"
"Pista Andres Gimeno","Real Club de Tenis Barcelona"
"Centre Court","Hiroshima Regional Park"
"Court 2","Hiroshima Regional Park"
"Court 3","Hiroshima Regional Park"
"Court 9","Hiroshima Regional Park"
"Court 4","Hiroshima Regional Park"
"Youme Town","Hiroshima Regional Park"
"Indoor Court 17","Hiroshima Regional Park"
"Indoor Court 20","Hiroshima Regional Park"
"Indoor Court 18","Hiroshima Regional Park"
"Indoor Court 19","Hiroshima Regional Park"
"Court 13","Tennis Club de Lyon"
"Court Sopra Steria","Tennis Club de Lyon"
"Court 12","Tennis Club de Lyon"
"Court 23","Tennis Club de Lyon"
"Court 1","Tennis Club de Lyon"
"Central","Tennis Club de Lyon"
"Court 2","Tennis Club de Lyon"
"COURT REGION AUVERGNE RHONE-ALPES","Tennis Club de Lyon"
"Court 1","Sichuan International Tennis Center"
"Court 2","Sichuan International Tennis Center"
"Court 17","Sichuan International Tennis Center"
"Court 16","Sichuan International Tennis Center"
"Court 18","Sichuan International Tennis Center"
"Stadium Court","Sichuan International Tennis Center"
"Court 11","Sichuan International Tennis Center"
"Court 12","Sichuan International Tennis Center"
"Center Court","Sichuan International Tennis Center"
"Swiss Tennis Arena","Swiss Tennis Arena"
"Indoor 4","Shenzhen Luohu Tennis Centre"
"Court 6","Shenzhen Luohu Tennis Centre"
"Court 5","Shenzhen Luohu Tennis Centre"
"Indoor 7","Shenzhen Luohu Tennis Centre"
"Indoor 5","Shenzhen Luohu Tennis Centre"
"Centre Court","Shenzhen Luohu Tennis Centre"
"Yang-Ming Tennis Center - Court 6","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 1","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 2","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 6","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 4","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 5","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 7","Yang-Ming Tennis Centre"
"Yang-Ming Tennis Center - Court 8","Yang-Ming Tennis Centre"
"Estadio Municipal Coll d en Rebassa","Mallorca Country Club Santa Ponsa"
"Center Court","Mallorca Country Club Santa Ponsa"
"Court 1","Mallorca Country Club Santa Ponsa"
"Court 2","Mallorca Country Club Santa Ponsa"
"Court 3","Mallorca Country Club Santa Ponsa"
"Court Central","Mallorca Country Club Santa Ponsa"
"Pista 3","Mallorca Country Club Santa Ponsa"
"Pista 2","Mallorca Country Club Santa Ponsa"
"Pista 1","Mallorca Country Club Santa Ponsa"
"Court 4","Mallorca Country Club Santa Ponsa"
"Court 5","Mallorca Country Club Santa Ponsa"
"Indoor","Mallorca Country Club Santa Ponsa"
"Grandstand","Mallorca Country Club Santa Ponsa"
"Center Court","Tennis Center Novak"
"Court 2","Tennis Center Novak"
"Court 4","Tennis Center Novak"
"Court 1","Tennis Center Novak"
"Court 3","Tennis Center Novak"
"Court 5","Tennis Center Novak"
"Court 7","Tennis Center Novak"
"Court 8","Tennis Center Novak"
"Court 9","Tennis Center Novak"
"Practice Court 1","Tennis Center Novak"
"Court 1","Farum Arena"
"Court 2","Farum Arena"
"Court 3","Farum Arena"
"Court 4","Farum Arena"
"Court 5","Farum Arena"
"Estadio 3","Madrid Arena"
"Court 16","Madrid Arena"
"Court 14","Madrid Arena"
"Court 15","Madrid Arena"
"Indoor 10","Madrid Arena"
"Court 11","Madrid Arena"
"Court 10","Madrid Arena"
"Court 9","Madrid Arena"
"Court 18","Madrid Arena"
"Court 19","Madrid Arena"
"Court 17","Madrid Arena"
"Court 13","Madrid Arena"
"Court 12","Madrid Arena"
"Court 20","Madrid Arena"
"Centre Court","Rama Gardens Hotel"
"Court 1","Rama Gardens Hotel"
"Court 6","Rama Gardens Hotel"
"Court 4","Rama Gardens Hotel"
"Court 5","Rama Gardens Hotel"
"Court 3","Rama Gardens Hotel"
"Center Court","Country Time Club"
"Court 2","Country Time Club"
"Court 6","Country Time Club"
"Court 7","Country Time Club"
"Court 4","Country Time Club"
"Court 10","Country Time Club"
"Court 9","Country Time Club"
"Court 11","Country Time Club"
"Court 12","Country Time Club"
"Court 8","Country Time Club"
"Centre","ŠRC MARINA PORTOROŽ"
"Court 1","ŠRC MARINA PORTOROŽ"
"Court 2","ŠRC MARINA PORTOROŽ"
"Court D","ŠRC MARINA PORTOROŽ"
"Court C","ŠRC MARINA PORTOROŽ"
"Court A","ŠRC MARINA PORTOROŽ"
"Court 2","I. Czech Lawn Tennis Club Praha"
"Court 4","I. Czech Lawn Tennis Club Praha"
"Centre Court","I. Czech Lawn Tennis Club Praha"
"Court 3","I. Czech Lawn Tennis Club Praha"
"Court 1","LTTC Rot-Weiss"
"Court 2","LTTC Rot-Weiss"
"Steffi Graf Stadion","LTTC Rot-Weiss"
"Centre Court","Romai Tennis Academy"
"Court 1","Romai Tennis Academy"
"Grandstand 4","Romai Tennis Academy"
"Grand Court","Romai Tennis Academy"
"Table 1","Tokyo Metropolitan Gymnasium"
"Court 1","Tokyo Metropolitan Gymnasium"
"Court 2","Tokyo Metropolitan Gymnasium"
"Court 3","Tokyo Metropolitan Gymnasium"
"Court 1","Sporting Club de Tenis Valencia"
"Pista 1","Sporting Club de Tenis Valencia"
"Center Court","Sporting Club de Tenis Valencia"
"Pista 3","Sporting Club de Tenis Valencia"
"Pista 2","Sporting Club de Tenis Valencia"
"Pista 4","Sporting Club de Tenis Valencia"
"Court 2","Sporting Club de Tenis Valencia"
"Court 4","Sporting Club de Tenis Valencia"
"Court 3","Sporting Club de Tenis Valencia"
"Court 9","Sporting Club de Tenis Valencia"
"Court 7","Sporting Club de Tenis Valencia"
"Court 5","Sporting Club de Tenis Valencia"
"Pista Pablo Andujar","Sporting Club de Tenis Valencia"
"Cancha 2","Club Naval de Campo las Salinas"
"Cancha 1","Club Naval de Campo las Salinas"
"Cancha Central","Club Naval de Campo las Salinas"
"Court 5","Club Naval de Campo las Salinas"
"Court 4","USTA Billie Jean King National Tennis Center"
"Arthur Ashe Stadium","USTA Billie Jean King National Tennis Center"
"Court 5","USTA Billie Jean King National Tennis Center"
"Court 6","USTA Billie Jean King National Tennis Center"
"Court 7","USTA Billie Jean King National Tennis Center"
"Court 8","USTA Billie Jean King National Tennis Center"
"Court 9","USTA Billie Jean King National Tennis Center"
"Court 10","USTA Billie Jean King National Tennis Center"
"Court 11","USTA Billie Jean King National Tennis Center"
"Court 12","USTA Billie Jean King National Tennis Center"
"Court 13","USTA Billie Jean King National Tennis Center"
"Court 14","USTA Billie Jean King National Tennis Center"
"Court 15","USTA Billie Jean King National Tennis Center"
"Court 16","USTA Billie Jean King National Tennis Center"
"Stadium 17","USTA Billie Jean King National Tennis Center"
"Louis Armstrong Stadium","USTA Billie Jean King National Tennis Center"
"Grandstand","USTA Billie Jean King National Tennis Center"
"MKG 1","Lanxess Arena"
"MKG 2","Lanxess Arena"
"Stadium Court","Tiburon Peninsula Club"
"Court 1","Tiburon Peninsula Club"
"Court 4","Tiburon Peninsula Club"
"Center Court","Tiburon Peninsula Club"
"Court 5","Tiburon Peninsula Club"
"Court 2","Tiburon Peninsula Club"
"Court 3","Tiburon Peninsula Club"
"Kennedy-Grossman","Tiburon Peninsula Club"
"Backer Mckenzie","Tiburon Peninsula Club"
"Cancha 2","Country Club de Bogota"
"Cancha 3","Country Club de Bogota"
"Cancha 4","Country Club de Bogota"
"Cancha Central","Country Club de Bogota"
"Court 6","Almaty Tennis Center"
"Court 3","Almaty Tennis Center"
"Court 5","Almaty Tennis Center"
"Court 4","Almaty Tennis Center"
"Court 2","Almaty Tennis Center"
"Indoor 1","Almaty Tennis Center"
"Indoor 2","Almaty Tennis Center"
"Center Court","Sociedade Hipica de Campinas"
"Court 1","Sociedade Hipica de Campinas"
"Court 2","Sociedade Hipica de Campinas"
"Quadra 3","Sociedade Hipica de Campinas"
"Quadra 4","Sociedade Hipica de Campinas"
"Quadra Joao Lima","Sociedade Hipica de Campinas"
"Court 8","Sociedade Hipica de Campinas"
"Court 7","Sociedade Hipica de Campinas"
"Quadra 6","Sociedade Hipica de Campinas"
"Quadra 5","Sociedade Hipica de Campinas"
"Indoors","Sociedade Hipica de Campinas"
"Court 1","Eve Zimmermann Tennis Center"
"Court 2","Eve Zimmermann Tennis Center"
"Court 5","Eve Zimmermann Tennis Center"
"Court 6","Eve Zimmermann Tennis Center"
"Stadium","Eve Zimmermann Tennis Center"
"Court 3","Eve Zimmermann Tennis Center"
"Court 4","Eve Zimmermann Tennis Center"
"Center Court","Eve Zimmermann Tennis Center"
"Eve Zimmerman Tennis Center - Court 1","Eve Zimmermann Tennis Center"
"Eve Zimmerman Tennis Center - Court 5","Eve Zimmermann Tennis Center"
"Court 3","Palais des Sports de Pau"
"Eve Zimmerman Tennis Center - Court 3","Eve Zimmermann Tennis Center"
"Pista 2","Sanchez-Casal Tennis Academy"
"Estadio Central","Santo Domingo Tennis Club La Bocha"
"Cancha 1","Santo Domingo Tennis Club La Bocha"
"Cancha 2","Santo Domingo Tennis Club La Bocha"
"Court 8","Santo Domingo Tennis Club La Bocha"
"Cancha 7","Santo Domingo Tennis Club La Bocha"
"Court 9","Santo Domingo Tennis Club La Bocha"
"Court 10","Santo Domingo Tennis Club La Bocha"
"Court 11","Santo Domingo Tennis Club La Bocha"
"Court 12","Santo Domingo Tennis Club La Bocha"
"Court 5","Santo Domingo Tennis Club La Bocha"
"Estadio 4","Santo Domingo Tennis Club La Bocha"
"Estadio","Santo Domingo Tennis Club La Bocha"
"Estadio Mitur","Santo Domingo Tennis Club La Bocha"
"Cancha Avena Americana","Santo Domingo Tennis Club La Bocha"
"Cancha 3","Santo Domingo Tennis Club La Bocha"
"Estadio 3","Santo Domingo Tennis Club La Bocha"
"Estadio Sid","Santo Domingo Tennis Club La Bocha"
"Estadio Brugal","Santo Domingo Tennis Club La Bocha"
"Court 1","Lotto Arena"
"Centre Court","Lotto Arena"
"Court 2","Lotto Arena"
"Court 3","Lotto Arena"
"Center Court","TC Ismaning"
"Court 1","TC Ismaning"
"Court 7","Osten & Victor Alberta Tennis Centre"
"Court 6","Osten & Victor Alberta Tennis Centre"
"Court 9","Osten & Victor Alberta Tennis Centre"
"Court 8","Osten & Victor Alberta Tennis Centre"
"Court 5","Osten & Victor Alberta Tennis Centre"
"National Bank Court","Osten & Victor Alberta Tennis Centre"
"Court 4","Osten & Victor Alberta Tennis Centre"
"Grandstand Court","Osten & Victor Alberta Tennis Centre"
"Rogers Court","Osten & Victor Alberta Tennis Centre"
"Center Court","Ningbo Tennis Center of WTA Ningbo, China w42"
"Court 7","Ningbo Tennis Center of WTA Ningbo, China w42"
"Court 8","Ningbo Tennis Center of WTA Ningbo, China w42"
"Court 6","Ningbo Tennis Center of WTA Ningbo, China w42"
"Indoor 2","Ningbo Tennis Center of WTA Ningbo, China w42"
"Indoor 3","Ningbo Tennis Center of WTA Ningbo, China w42"
"Indoor 1","Ningbo Tennis Center of WTA Ningbo, China w42"
"Indoor 4","Ningbo Tennis Center of WTA Ningbo, China w42"
"Court 1","Ningbo Tennis Center of WTA Ningbo, China w42"
"Court 2","Ningbo Tennis Center of WTA Ningbo, China w42"
"Court 3","Ningbo Tennis Center of WTA Ningbo, China w42"
"Indoor court 9","Ningbo Tennis Center of WTA Ningbo, China w42"
"Estadio Nacional","Club Tennis Las Terrazas de Miraflores"
"Estadio Monumental","Club Tennis Las Terrazas de Miraflores"
"Estadio Alejandro Villanueva","Club Tennis Las Terrazas de Miraflores"
"Estadio Alberto Gallardo","Club Tennis Las Terrazas de Miraflores"
"Estadio Universidad San Marcos","Club Tennis Las Terrazas de Miraflores"
"Estadio Ivan Elias Moreno","Club Tennis Las Terrazas de Miraflores"
"Cancha  3","Club Tennis Las Terrazas de Miraflores"
"Estadio Municipal de Chorrillos","Club Tennis Las Terrazas de Miraflores"
"Court 4","Club Tennis Las Terrazas de Miraflores"
"Cancha 6","Club Tennis Las Terrazas de Miraflores"
"Court 7","Club Tennis Las Terrazas de Miraflores"
"Cancha 5","Club Tennis Las Terrazas de Miraflores"
"Court 8","Club Tennis Las Terrazas de Miraflores"
"Court 9","Club Tennis Las Terrazas de Miraflores"
"Court 13","Club Tennis Las Terrazas de Miraflores"
"Court 11","Club Tennis Las Terrazas de Miraflores"
"Court 10","Club Tennis Las Terrazas de Miraflores"
"Court 14","Club Tennis Las Terrazas de Miraflores"
"Court 16","Club Tennis Las Terrazas de Miraflores"
"Court 15","Club Tennis Las Terrazas de Miraflores"
"Court 12","Club Tennis Las Terrazas de Miraflores"
"Court 17","Club Tennis Las Terrazas de Miraflores"
"Court 6","Liuzhou Tennis Center"
"Court 3","Liuzhou Tennis Center"
"Court 4","Liuzhou Tennis Center"
"Indoor Court 1","Liuzhou Tennis Center"
"Indoor Court 2","Liuzhou Tennis Center"
"Court 5","Liuzhou Tennis Center"
"Court 7","The Boar's Head Sports Club"
"Court 9","The Boar's Head Sports Club"
"Court 10","The Boar's Head Sports Club"
"Center Court","The Boar's Head Sports Club"
"Court 2","The Boar's Head Sports Club"
"Court 1","The Boar's Head Sports Club"
"Court 3 Stadium","The Boar's Head Sports Club"
"Brenda Meyers Court","The Boar's Head Sports Club"
"Cancha Central","Anexo Guayaquil Tenis Club"
"Estadio","Anexo Guayaquil Tenis Club"
"Cancha Raul Viver","Anexo Guayaquil Tenis Club"
"Cancha 1","Anexo Guayaquil Tenis Club"
"Cancha 2","Anexo Guayaquil Tenis Club"
"Court 10","Anexo Guayaquil Tenis Club"
"Central","Vendéspace"
"Court Annexe","Vendéspace"
"Cancha Central","Carrasco Lawn Tennis Club"
"Cancha 1","Carrasco Lawn Tennis Club"
"Cancha 2","Carrasco Lawn Tennis Club"
"Cancha 15","Carrasco Lawn Tennis Club"
"Court 2","Goodfriend Indoor Tennis Center"
"Court 3","Goodfriend Indoor Tennis Center"
"Court 5","Goodfriend Indoor Tennis Center"
"Court 1","Goodfriend Indoor Tennis Center"
"Center Court","Goodfriend Indoor Tennis Center"
"Stadium","Goodfriend Indoor Tennis Center"
"Court 1","Palais des sports de Beaublanc"
"Centre","Palais des sports de Beaublanc"
"Court 2","Palais des sports de Beaublanc"
"Noevir Stadium","Miki Disaster Management Park"
"Center Court","Miki Disaster Management Park"
"Court F","Miki Disaster Management Park"
"Court G","Miki Disaster Management Park"
"Court E","Miki Disaster Management Park"
"Court C","Miki Disaster Management Park"
"Center Court","Karnataka State Lawn Tennis Association"
"Court 1","Karnataka State Lawn Tennis Association"
"Court 3","Karnataka State Lawn Tennis Association"
"Sree Kanteerava Stadium","Karnataka State Lawn Tennis Association"
"M.Chinnaswamy Stadium","Karnataka State Lawn Tennis Association"
"Court 2","Karnataka State Lawn Tennis Association"
"KSLTA Signature - Kingfisher Stadium","Karnataka State Lawn Tennis Association"
"Cancha 8","Racket Club, Argentina"
"Cancha 7","Racket Club, Argentina"
"Court 1","Atkins Tennis Center"
"Court 2","Atkins Tennis Center"
"Court 5","Atkins Tennis Center"
"Court N2","Atkins Tennis Center"
"Court S2","Atkins Tennis Center"
"Court N5","Atkins Tennis Center"
"Court N6","Atkins Tennis Center"
"The Schwartz Court","Atkins Tennis Center"
"The Goldenberg Court","Atkins Tennis Center"
"Court N1","Atkins Tennis Center"
"Court 2","Rice Stadium (Brian Patterson Sports Performance Center)"
"Court 4","Rice Stadium (Brian Patterson Sports Performance Center)"
"Court 10","Rice Stadium (Brian Patterson Sports Performance Center)"
"Court 12","Rice Stadium (Brian Patterson Sports Performance Center)"
"Westside Tennis Club","Rice Stadium (Brian Patterson Sports Performance Center)"
"Indoor 1","Rice Stadium (Brian Patterson Sports Performance Center)"
"Indoor 2","Rice Stadium (Brian Patterson Sports Performance Center)"
"Centre Court","Mhalunge Balewadi Tennis Complex"
"Court 1","Mhalunge Balewadi Tennis Complex"
"Court 2","Mhalunge Balewadi Tennis Complex"
"Court 3","Mhalunge Balewadi Tennis Complex"
"Court 4","Mhalunge Balewadi Tennis Complex"
"Pune Club Ground","Mhalunge Balewadi Tennis Complex"
"Court 5","Mhalunge Balewadi Tennis Complex"
"Via Delle Querce","Palazzetto dello Sport"
"Stadium Court","ASB Tennis Arena"
"Court 4","ASB Tennis Arena"
"Court 6","ASB Tennis Arena"
"Court 1","ASB Tennis Arena"
"Court 2","ASB Tennis Arena"
"Court 3","ASB Tennis Arena"
"Court 5","ASB Tennis Arena"
"Court 8","ASB Tennis Arena"
"Grandstand","ASB Tennis Arena"
"Indoor 1","ASB Tennis Arena"
"Indoor 3","ASB Tennis Arena"
"Indoor 2","ASB Tennis Arena"
"Centre Court","ASB Tennis Arena"
"Indoor 6","ASB Tennis Arena"
"Centre Court","Domain Tennis Centre"
"COURT 8","Domain Tennis Centre"
"West Court","Domain Tennis Centre"
"Court 5","Ohio State Varsity Tennis Center"
"Center Court","Ohio State Varsity Tennis Center"
"Court 1","Ohio State Varsity Tennis Center"
"Court 2","Ohio State Varsity Tennis Center"
"Court 3","Ohio State Varsity Tennis Center"
"Court 4","Ohio State Varsity Tennis Center"
"Indoor Court 1","Ohio State Varsity Tennis Center"
"Lotto RLP Court","EPG Arena"
"VR Bank Court 1","EPG Arena"
"Centre Court","EPG Arena"
"Center","Newport Beach Tennis Club"
"Stadium","Newport Beach Tennis Club"
"Court 10","Newport Beach Tennis Club"
"Court 8","Newport Beach Tennis Club"
"Court 8","Newport Beach Tennis Club"
"Court 8","Newport Beach Tennis Club"
"Center Court","Burnie Tennis Club"
"Court 4","Burnie Tennis Club"
"Court 2","Burnie Tennis Club"
"Court 6","Burnie Tennis Club"
"Court 1","Burnie Tennis Club"
"Court 3","Burnie Tennis Club"
"Court 5","Burnie Tennis Club"
"Cat Court","Burnie Tennis Club"
"West Park Oval","Burnie Tennis Club"
"Cancha Central","Cantegril Country Club"
"Cancha 1","Cantegril Country Club"
"Cancha 4","Cantegril Country Club"
"Cancha 2","Cantegril Country Club"
"Cancha 3","Cantegril Country Club"
"Central Colette Besson","Salle Collete-Benson"
"Tennis Club De Bruz","Salle Collete-Benson"
"Court 5","Salle Collete-Benson"
"Court 4","Salle Collete-Benson"
"Tennis Club De Bruz 4","Salle Collete-Benson"
"Tennis Club De Bruz 5","Salle Collete-Benson"
"Center Court","Launceston Regional Tennis Centre"
"Court 4","Launceston Regional Tennis Centre"
"Court 2","Launceston Regional Tennis Centre"
"Court 5","Launceston Regional Tennis Centre"
"Court 3","Launceston Regional Tennis Centre"
"Court 8","Launceston Regional Tennis Centre"
"Center Court","True Arena Hua Hin"
"Court 2","True Arena Hua Hin"
"Court 5","True Arena Hua Hin"
"Court 3","True Arena Hua Hin"
"Court 4","True Arena Hua Hin"
"Court 1","True Arena Hua Hin"
"Halle des Sports","Parc des Expositions Quimper Cornouaille"
"Court Central","Parc des Expositions Quimper Cornouaille"
"Annexe","Parc des Expositions Quimper Cornouaille"
"Court 1","Parc des Expositions Quimper Cornouaille"
"Court 2","Parc des Expositions Quimper Cornouaille"
"Court Fred Le Bian","Parc des Expositions Quimper Cornouaille"
"Court 4","Cleveland Racquet Club"
"Court 2","Cleveland Racquet Club"
"Center Court","Cleveland Racquet Club"
"Stadium","Cleveland Racquet Club"
"Court 2","Sud de France Arena"
"Infinity Arena","Sud de France Arena"
"Cancha Central","Estadio Mario Alberto Kempes"
"Cancha 2","Estadio Mario Alberto Kempes"
"Cancha 4","Estadio Mario Alberto Kempes"
"Cancha 1","Estadio Mario Alberto Kempes"
"Cancha 6","Estadio Mario Alberto Kempes"
"Cancha 3","Estadio Mario Alberto Kempes"
"Grandstand 1","T Bar M Racquet Club"
"Grandstand 2","T Bar M Racquet Club"
"Hamilton Family Stadium","T Bar M Racquet Club"
"Court 1","T Bar M Racquet Club"
"Court 2","T Bar M Racquet Club"
"Asboth Jozsef","SYMA Sports and Conference Centre"
"Kormoczy Court","SYMA Sports and Conference Centre"
"Temesvari Court","SYMA Sports and Conference Centre"
"Center Court","SDAT Tennis Stadium"
"Court 1","SDAT Tennis Stadium"
"Court 2","SDAT Tennis Stadium"
"Court 3","SDAT Tennis Stadium"
"Court 4","SDAT Tennis Stadium"
"Cancha Estadio","Club Campestre Sede Llanogrande"
"Cancha 1","Club Campestre Sede Llanogrande"
"Cancha 2","Club Campestre Sede Llanogrande"
"Cancha 3","Club Campestre Sede Llanogrande"
"Tourlaville 2","Complexe Sportif Chantereyne"
"Center Court","Complexe Sportif Chantereyne"
"Court 1","Complexe Sportif Chantereyne"
"Court 2","Complexe Sportif Chantereyne"
"Court 5","Complexe Sportif Chantereyne"
"Centre Court","Dubai Duty Free Tennis Stadium"
"Court 1","Dubai Duty Free Tennis Stadium"
"Court 3","Dubai Duty Free Tennis Stadium"
"Court 6","Dubai Duty Free Tennis Stadium"
"Court 7","Dubai Duty Free Tennis Stadium"
"Court 2","Dubai Duty Free Tennis Stadium"
"Estadio Metaxchange","Hotel Racquet Cuernavaca"
"Cancha 1","Hotel Racquet Cuernavaca"
"Cancha 2","Hotel Racquet Cuernavaca"
"Stadium 2","Indian Wells Tennis Garden"
"Stadium 3","Indian Wells Tennis Garden"
"Stadium 4","Indian Wells Tennis Garden"
"Stadium 5","Indian Wells Tennis Garden"
"Stadium 6","Indian Wells Tennis Garden"
"Stadium 7","Indian Wells Tennis Garden"
"Stadium 8","Indian Wells Tennis Garden"
"Stadium 9","Indian Wells Tennis Garden"
"Stadium 1","Indian Wells Tennis Garden"
"Court 13","Indian Wells Tennis Garden"
"Court 15","Indian Wells Tennis Garden"
"Court 17","Indian Wells Tennis Garden"
"Court 18","Indian Wells Tennis Garden"
"Court 16","Indian Wells Tennis Garden"
"Court 19","Indian Wells Tennis Garden"
"Court 20","Indian Wells Tennis Garden"
"PC3","Indian Wells Tennis Garden"
"PC4","Indian Wells Tennis Garden"
"PC5","Indian Wells Tennis Garden"
"PC6","Indian Wells Tennis Garden"
"PC2","Indian Wells Tennis Garden"
"Court 1","Mamushidani Tennis Courts, Keio University"
"Court 7","Mamushidani Tennis Courts, Keio University"
"Court 8","Mamushidani Tennis Courts, Keio University"
"Court 9","Mamushidani Tennis Courts, Keio University"
"Indoor 6","Mamushidani Tennis Courts, Keio University"
"Indoor 5","Mamushidani Tennis Courts, Keio University"
"Court 3","Mamushidani Tennis Courts, Keio University"
"Court 4","Mamushidani Tennis Courts, Keio University"
"Indoors 2","Mamushidani Tennis Courts, Keio University"
"Central","Palais des Sports de Pau"
"Stadium","Shenzhen International Tennis Center"
"Court 10","Shenzhen International Tennis Center"
"Court 3","Shenzhen International Tennis Center"
"Court 4","Shenzhen International Tennis Center"
"Indoor 1","Shenzhen International Tennis Center"
"Indoor 2","Shenzhen International Tennis Center"
"Indoor 3","Shenzhen International Tennis Center"
"Court 8","Shenzhen International Tennis Center"
"Court 7","Shenzhen International Tennis Center"
"Court 9","Shenzhen International Tennis Center"
"Court 11","Shenzhen International Tennis Center"
"Center Court","The Phoenix Country Club"
"Court 3","The Phoenix Country Club"
"Court 2","The Phoenix Country Club"
"Court 4","The Phoenix Country Club"
"Court 1","The Phoenix Country Club"
"Court 1","Hard Rock Stadium"
"Court 2","Hard Rock Stadium"
"Court 3","Hard Rock Stadium"
"Court 4","Hard Rock Stadium"
"Court 5","Hard Rock Stadium"
"Court 6","Hard Rock Stadium"
"Court 7","Hard Rock Stadium"
"Court 8","Hard Rock Stadium"
"Court 9","Hard Rock Stadium"
"Court 10","Hard Rock Stadium"
"Grandstand","Hard Rock Stadium"
"Stadium","Hard Rock Stadium"
"Butch Buchholz","Hard Rock Stadium"
"Cancha 1","Centro Panamericano de Tenis"
"Center Court","Centro Panamericano de Tenis"
"Court 1","Centro Panamericano de Tenis"
"Court 5","Centro Panamericano de Tenis"
"Court 2","Centro Panamericano de Tenis"
"Cancha 2","Centro Panamericano de Tenis"
"Court 4","Centro Panamericano de Tenis"
"Court 3","Centro Panamericano de Tenis"
"Estadio Akron de Tenis","Centro Panamericano de Tenis"
"Abierto Akron Zapopan","Centro Panamericano de Tenis"
"Akron Tennis Stadium","Centro Panamericano de Tenis"
"Grandstand Caliente","Centro Panamericano de Tenis"
"Campo Estadio","Club Los Lagartos"
"Court 10","TK Sparta Praha"
"Court 12","TK Sparta Praha"
"Center Court","TK Sparta Praha"
"Court 1","TK Sparta Praha"
"Court 2","TK Sparta Praha"
"Court 3","TK Sparta Praha"
"Court 14","TK Sparta Praha"
"Center Court","Hot Springs Tennis Center"
"Court 3","Hot Springs Tennis Center"
"Court 2","Hot Springs Tennis Center"
"Court 1","Hot Springs Tennis Center"
"Court 5","Hot Springs Tennis Center"
"Indoor C8","Hot Springs Tennis Center"
"Indoor C9","Hot Springs Tennis Center"
"Court 9 (indoor)","Hot Springs Tennis Center"
"Court 7 (indoor)","Hot Springs Tennis Center"
"Court 8 (indoor)","Hot Springs Tennis Center"
"Court 10 (indoor)","Hot Springs Tennis Center"
"Indoor Court 10","Hot Springs Tennis Center"
"Indoor Court 7","Hot Springs Tennis Center"
"Indoor Court 9","Hot Springs Tennis Center"
"Indoor Court 8","Hot Springs Tennis Center"
"Court 4","Hot Springs Tennis Center"
"Court 8","Hot Springs Tennis Center"
"Court Central","Union Sportive des Cheminots du Maroc"
"Court 1","Union Sportive des Cheminots du Maroc"
"Court 2","Union Sportive des Cheminots du Maroc"
"Court 3","Union Sportive des Cheminots du Maroc"
"Manolo Santana Stadium","La Caja Magica"
"Arantxa Sanchez Stadium","La Caja Magica"
"Stadium 3","La Caja Magica"
"Court 5","La Caja Magica"
"Court 6","La Caja Magica"
"Court 7","La Caja Magica"
"Court 4","La Caja Magica"
"Court 8","La Caja Magica"
"Court 3","La Caja Magica"
"Court 3","River Oaks Country Club"
"Court 1","River Oaks Country Club"
"Court 5","River Oaks Country Club"
"Court 6","River Oaks Country Club"
"Court 8","River Oaks Country Club"
"Court 9","River Oaks Country Club"
"Court 7","River Oaks Country Club"
"Stadium Court","River Oaks Country Club"
"Indoor 3","River Oaks Country Club"
"Court 13","River Oaks Country Club"
"Court 11","River Oaks Country Club"
"Court 4","National Tennis Center"
"Court 5","National Tennis Center"
"Court 6","National Tennis Center"
"Centre Court","National Tennis Center"
"Court 1","National Tennis Center"
"Court 2","National Tennis Center"
"Court 9","National Tennis Center"
"Court 7","National Tennis Center"
"Court 8","National Tennis Center"
"Court 3","National Tennis Center"
"National Tennis Center - NEK - Court 03","National Tennis Center"
"National Tennis Center - NEK - Court 04","National Tennis Center"
"National Tennis Center - NEK - Court 01","National Tennis Center"
"National Tennis Center - NEK - Court 02","National Tennis Center"
"National Tennis Center - NEK - Court 05","National Tennis Center"
"National Tennis Center - NEK - Court 06","National Tennis Center"
"Central","Clube de Ténis do Estoril"
"Centralito","Clube de Ténis do Estoril"
"Court 1","Clube de Ténis do Estoril"
"Court 2","Clube de Ténis do Estoril"
"Court 3","Clube de Ténis do Estoril"
"Court 4","Clube de Ténis do Estoril"
"Estadio Millennium","Clube de Ténis do Estoril"
"Court Cascais","Clube de Ténis do Estoril"
"Court 6","Clube de Ténis do Estoril"
