"venue_name","complex_name"
"Court 2","Rotterdam Ahoy"
"Centre Court","Rotterdam Ahoy"
"Centre Court","The O2"
"Cedevita Court","Bluesun Tennis Center"
"Cockta Court","Bluesun Tennis Center"
"Kala Court","Bluesun Tennis Center"
"INA Court","Bluesun Tennis Center"
"Raiffeisen Court","Bluesun Tennis Center"
"Lukas Court","Bluesun Tennis Center"
"Center Court","Bluesun Tennis Center"
"Court 1","Bluesun Tennis Center"
"Center Court","Club Sonoma, Estadio Gnp Seguros"
"Court 1","Club Sonoma, Estadio Gnp Seguros"
"Court 4","Club Sonoma, Estadio Gnp Seguros"
"Estadio","Club Sonoma, Estadio Gnp Seguros"
"Grandstand","Club Sonoma, Estadio Gnp Seguros"
"Court Central","Accor Arena"
"Court 1","Accor Arena"
"Next Gen Arena","Stadium Goran Ivanisevic in ITC Stella Maris"
"Roy Emerson Arena","Roy Emerson Arena"
"Court 1","Roy Emerson Arena"
"Sportzentrum 1","Roy Emerson Arena"
"Sportzentrum 3","Roy Emerson Arena"
"Center Court","Roy Emerson Arena"
"Centre Court","Club de Tenis Puente Romano"
"Court 1","Club de Tenis Puente Romano"
"Court 7","Club de Tenis Puente Romano"
"Court 2","Club de Tenis Puente Romano"
"Court 3","Club de Tenis Puente Romano"
"Court 4","Club de Tenis Puente Romano"
"Estadio Manolo Santana","Club de Tenis Puente Romano"
"Court 8","Club de Tenis Puente Romano"
"Court 9","Club de Tenis Puente Romano"
"Astana Arena","National Tennis Center"
"Astana","National Tennis Center"
"Center Court","National Tennis Center"
"Court 1","National Tennis Center"
"Court 2","National Tennis Center"
"Court 3","National Tennis Center"
"Court 6","National Tennis Center"
"Court 4","National Tennis Center"
"Court 9","National Tennis Center"
"Indoor Center Court","National Tennis Center"
"Court 5","National Tennis Center"
"Indoor Court 3","National Tennis Center"
"Court 4","Canberra Tennis Centre"
"Centre Court","Canberra Tennis Centre"
"Court 7","Canberra Tennis Centre"
"Court 5","Canberra Tennis Centre"
"Court 1","Canberra Tennis Centre"
"Court 6","Canberra Tennis Centre"
"Court 2","Canberra Tennis Centre"
"Center Court","BT Arena"
"Court 2","BT Arena"
"Center Court","Valletta Cambiaso ASD"
"Court 1","Valletta Cambiaso ASD"
"Court 2","Valletta Cambiaso ASD"
"Campo 3","Valletta Cambiaso ASD"
"Court 3","Valletta Cambiaso ASD"
"Court 4","Valletta Cambiaso ASD"
"Centrale","Valletta Cambiaso ASD"
"Campo 1","Valletta Cambiaso ASD"
"Campo 2","Valletta Cambiaso ASD"
"Court 1","Porsche Arena"
"Court 2","Porsche Arena"
"Court 18","Porsche Arena"
"Court 3","Porsche Arena"
"Court 4","Porsche Arena"
"Centre Court","Porsche Arena"
"Court 1","Royal Arena"
"Court 2","Royal Arena"
"Court 3","Royal Arena"
"Court 4","Royal Arena"
"Centre Court","Taipei Arena"
"Court 2","Taipei Arena"
"Court 1","Taipei Arena"
"Court 3","Taipei Arena"
"Show court","Taipei Arena"
"Court 4","Taipei Arena"
"Court 6","Taipei Arena"
"Court 7","Taipei Arena"
"Court 5","Taipei Arena"
"Court 8","Taipei Arena"
"Centre Court","Singapore Indoor Stadium"
"Court 1","Singapore Indoor Stadium"
"Court 2","Singapore Indoor Stadium"
"Court 3","Singapore Indoor Stadium"
"Court 4","Singapore Indoor Stadium"
"Central","Palais des Sports de Marseille"
"Court 1","Palais des Sports de Marseille"
